"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0183",0,0,0,0,0,0,0,0,0.202106018906306,0.40327868852459,0,0,0,0,0.394615292569104,3
"F0184",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0185",0.513669064748201,0,0,0,0,0,0,0,0.182637889688249,0.144172661870504,0,0,0,0,0.159520383693046,4
"F0186",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0316",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0318",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0320",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0321",0.681057268722467,0,0,0,0,0,0,0,0,0.318942731277533,0,0,0,0,0,2
"F0323",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0324",0.783862358211801,0,0,0,0,0,0,0,0,0.216137641788199,0,0,0,0,0,2
"F0332",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0333",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0336",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0339",0,0,0,0,0,0,0,0,0,0.98432110042448,0,0,0,0,0.0156788995755199,2
"F0340",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0341",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0344",0,0,0,0,0,0,0,0,0,0.976289595236033,0,0,0,0,0.0237104047639675,2
"F0345",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0346",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0348",0,0,0,0,0,0,0,0,0,0.871660067934489,0,0,0,0,0.128339932065511,2
"F0351",0.0228399968650985,0,0,0,0,0,0,0,0,0.977160003134901,0,0,0,0,0,2
"F0352",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0353",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0356",0,0,0,0.0164312162030172,0,0,0,0,0,0.983568783796983,0,0,0,0,0,2
"F0357",0,0,0,0,0,0,0,0.0507101716447136,0,0.763928820456,0,0,0,0,0.185361007899286,3
"F0359",0,0,0,0,0,0,0,0,0,0.0491359224100314,0.306926617212393,0,0,0.108991511538873,0.534945948838703,4
"F0360",0.0034203013257201,0,0,0,0,0,0,0,0,0.988907576485664,0.00346505733480321,0,0,0,0.00420706485381274,4
"F0368",0.0828951042442293,0,0,0,0,0.102952810871184,0,0,0,0.526677680565897,0,0,0,0,0.287474404318689,4
"F0369",0.0278879120458159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972112087954184,2
"F0377",0,0,0,0,0,0,0.113184469673211,0,0,0.487329862635639,0,0,0,0,0.39948566769115,3
"F0212",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0213",0,0,0,0.272381610784653,0,0,0,0,0,0,0,0,0,0.262649897630886,0.464968491584461,3
"F0215",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0216",0.0385455806694029,0,0,0.380010405225736,0,0,0.0337707381929591,0,0,0.141106422336551,0.120781548066362,0,0.0598069252557951,0.147488294121047,0.0784900861321464,8
"F0218",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0219",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0220",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0221",0.0251556381869912,0,0,0.0492971633003747,0,0,0,0,0,0.0838051776106369,0,0,0.0589030676920477,0,0.78283895320995,5
"F0222",0,0,0,0.296879568090124,0,0,0.102091332566706,0,0,0,0,0,0,0,0.60102909934317,3
"F0228",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0230",0.215199756641655,0,0,0.366923544919895,0,0,0,0.0913607787467045,0.0806327316974245,0,0,0,0.0238288379639018,0.0491888055161225,0.172865544514297,7
"F0232",0,0,0.116951198482497,0,0,0,0,0,0.362683221245042,0,0.239730988101397,0,0.280634592171064,0,0,4
"F0233",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"F0235",0.0374745845894973,0,0,0.322802005188249,0,0,0,0,0.165848699432097,0.0637138049498703,0,0,0,0,0.410160905840286,5
"F0236",0.103984400614312,0,0,0.135493779227278,0,0,0,0,0,0,0,0,0,0,0.76052182015841,3
"F0237",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0238",0.211014940382129,0,0,0,0,0,0,0,0,0,0,0,0.152402672029881,0.0850272949288895,0.551555092659101,4
"F0240",0.0766326077298978,0,0,0.137790611580038,0,0,0,0,0,0,0,0,0,0,0.785576780690064,3
"F0243",0.265031919061557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734968080938443,2
"F0248",0.215874593903673,0,0,0.237391041914467,0,0,0.0507110014379804,0,0,0.137815334907419,0,0,0,0,0.358208027836461,5
"F0249",0.466253723260222,0,0,0,0,0,0,0,0,0,0,0,0.195166531275386,0,0.338579745464392,3
"F0258",0.363296691395462,0,0,0,0,0,0,0,0.564033140196025,0,0,0,0,0,0.0726701684085125,3
"F0259",0.22677986706143,0,0,0,0,0,0,0,0,0,0.20529009235113,0,0,0,0.567930040587439,3
"F0264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0273",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0278",0,0,0,0,0,0,0,0,0.591706395610327,0,0,0,0,0,0.408293604389673,2
"F0279",0,0,0,0,0,0,0,0,0,0.49336240909142,0,0,0,0.0797634971842227,0.426874093724357,3
"F0489",0.239185327928766,0,0,0.287161937670277,0,0,0.136000177198928,0,0.142822335924868,0,0,0,0.0291492236471969,0.165680997629964,0,6
"F0494",0.684034449629426,0,0,0,0,0,0.315965550370574,0,0,0,0,0,0,0,0,2
"F0496",0.0835355285961872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916464471403813,2
"F0497",0.0940907875318192,0,0,0.10502075058686,0,0,0.567545884054239,0,0,0,0,0,0,0.0712304751339626,0.162112102693119,5
"F0500",0.0957839988173156,0,0,0.0228069939656215,0,0,0.141760855833457,0,0,0.081121399868292,0,0,0,0.47488811536549,0.183638636149825,6
"F0501",0,0,0,0,0,0,0.239756897022671,0,0,0.760243102977329,0,0,0,0,0,2
"F0506",0.103779851336391,0,0,0,0,0,0,0,0,0,0,0,0,0.341973746639254,0.554246402024355,3
"F0507",0.43087764503787,0,0,0,0,0,0.204712266729133,0,0,0,0.364410088232998,0,0,0,0,3
"F0510",0,0,0,0,0,0,0.987406432106893,0,0,0,0,0,0,0.0125935678931071,0,2
"F0513",0,0,0,0,0,0,0.3366780529462,0,0,0,0,0,0,0,0.6633219470538,2
"F0478",0.636848657300373,0,0,0,0,0,0,0,0,0.363151342699627,0,0,0,0,0,2
"F0514",0.623936380726229,0,0.186937271198179,0.0327124765014346,0,0,0.12955130107846,0,0,0.0268625704956961,0,0,0,0,0,5
"F0515",0.109929609105886,0,0,0.336405843669585,0,0,0.553664547224529,0,0,0,0,0,0,0,0,3
"F0516",0.585328226407065,0,0,0,0,0,0.0875359080753272,0,0,0,0,0,0,0,0.327135865517608,3
"F0517",0.736096494778596,0,0,0.0959685906257589,0,0,0.167934914595645,0,0,0,0,0,0,0,0,3
"F0519",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0522",0.0338097686375321,0,0,0,0,0,0.0334190231362468,0,0,0.932771208226221,0,0,0,0,0,3
"F0479",0,0,0,0,0,0,0.0126928402185185,0,0.251099254418742,0.374470648893214,0.361737256469525,0,0,0,0,4
"F0525",0.18791749247596,0,0,0,0,0,0.278964496317502,0,0,0.025765249944946,0,0,0,0,0.507352761261592,4
"F0482",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0483",0,0,0,0,0,0,0.359373359005776,0,0.640626640994224,0,0,0,0,0,0,2
"F0580",0.163755579840338,0,0,0,0,0,0,0,0,0.836244420159662,0,0,0,0,0,2
