"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0546",0.276059706415966,0,0,0,0,0,0,0,0,0,0,0,0,0.154750123701138,0.569190169882896,3
"F0548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0549",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0550",0.130506225115338,0,0,0.186816659293434,0,0,0,0,0,0.21193831763888,0,0,0,0,0.470738797952348,4
"F0552",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0554",0.446752008715784,0,0,0,0,0,0,0,0,0,0,0,0,0.553247991284216,0,2
"F0555",0,0,0,0,0,0,0,0,0,0.84268764164778,0.15731235835222,0,0,0,0,2
"F0557",0.697043832823649,0,0,0,0,0,0.302956167176351,0,0,0,0,0,0,0,0,2
"F0560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0566",0.159602192732828,0,0,0,0,0,0,0,0,0.167570320222868,0,0,0,0,0.672827487044304,3
"F0567",0.144385561443856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.855614438556144,2
"F0568",0.473964739647396,0,0,0,0,0,0,0,0,0.526035260352604,0,0,0,0,0,2
"F0569",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0770",0.866221182759773,0,0,0,0,0,0,0,0,0.133778817240227,0,0,0,0,0,2
"F0777",0.273450626089713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726549373910287,2
"F0781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0786",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0789",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0790",0,0,0.0405328798185941,0,0,0,0.0110178479994148,0,0.948449272181991,0,0,0,0,0,0,3
"F0794",0,0,0,0.718072719789444,0,0,0,0,0.037648791794383,0,0,0,0,0,0.244278488416173,3
"F0795",0,0,0,0,0,0,0,0,0,0,0,0,0.283031597885978,0,0.716968402114022,2
"F0687",0,0,0,0,0,0,0,0,0,0.387284256431223,0,0,0,0,0.612715743568777,2
"F0688",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0689",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0697",0,0,0,0,0,0,0,0,0,0.973198576587779,0,0,0,0,0.0268014234122207,2
"F0698",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0699",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0701",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0703",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0705",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0708",0,0,0,0.011024632275718,0,0,0.250586144841642,0,0,0.278499696283302,0,0,0,0.333764781352362,0.126124745246976,5
"F0711",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0716",0,0,0,0,0,0,0.0346386474826084,0,0,0.0539396816877567,0.223334640711764,0,0,0.157484053423611,0.530602976694259,5
"F0721",0.0275124543341083,0,0,0,0,0,0,0,0,0.972487545665892,0,0,0,0,0,2
"F0726",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0728",0.116712291163082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883287708836918,2
"F0729",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0730",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0733",0,0,0,0,0,0,0,0,0,0.694748969629304,0.305251030370696,0,0,0,0,2
"F0735",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0736",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0737",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0738",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0739",0.299130836089532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700869163910468,2
"F0740",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0741",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0748",0.196008167006959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803991832993041,2
"F0749",0,0,0,0,0,0,0,0,0,0.838578784493496,0,0,0,0,0.161421215506504,2
"F0750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0755",0.128478159490129,0,0,0,0,0,0,0,0.871521840509871,0,0,0,0,0,0,2
"F0760",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0602",0,0,0,0,0,0,0,0,0,0,0,0,0,0.803576952822893,0.196423047177108,2
"F0604",0,0,0,0,0,0,0,0,0,0,0,0,0,0.205386832187985,0.794613167812015,2
"F0605",0,0,0,0.373402684132794,0,0,0,0,0,0,0,0,0,0,0.626597315867206,2
"F0607",0,0,0,0,0,0,0,0,0,0,0,0,0.143796071026544,0,0.856203928973456,2
"F0608",0,0,0,0,0,0,0,0,0,0,0,0,0,0.385998580404322,0.614001419595678,2
"F0609",0.0188121588678187,0,0,0,0,0,0,0,0,0.155416046426337,0,0,0,0.144122279032641,0.681649515673203,4
"F0612",0,0,0,0,0,0,0.169404155471533,0,0,0.100020667939163,0.202302651575019,0,0,0.265777540028935,0.26249498498535,5
"F0613",0,0,0,0,0,0.0362745758147051,0.340383450040399,0,0,0,0.0400871936439537,0,0,0,0.583254780500943,4
"F0615",0,0,0,0,0,0,0,0,0,0,0.114722018380683,0,0,0,0.885277981619317,2
"F0616",0,0,0,0,0,0,0,0,0,0,0.100826416999566,0,0,0.0593992754457603,0.839774307554674,3
"F0619",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
