"","Aureobasidium","Eremomyces","Ramularia","Sphaerulina","Baudoinia","Bonordeniella","Macroventuria","Leptosphaeria","Parastagonospora","Alternaria","Bipolaris","Pyrenophora","Verruconis","Cyphellophora","Capronia","Cladophialophora","Exophiala","Fonsecaea","Rhinocladiella","Aspergillus","Penicillium","Byssochlamys","Rasamsonia","Talaromyces","Blastomyces","Histoplasma","Arthroderma","Microsporum","Nannizzia","Trichophyton","Uncinocarpus","Coccidioides","Paracoccidioides","Glarea","Phialocephala","Botrytis","Sclerotinia","Arthrobotrys","Saitoella","Pneumocystis","Ascoidea","Babjeviella","Candida","Debaryomyces","Hyphopichia","Lodderomyces","Meyerozyma","Scheffersomyces","Spathaspora","Suhomyces","Yamadazyma","Yarrowia","Clavispora","Metschnikowia","Diutina","Cyberlindnera","Komagataella","Wickerhamomyces","Ogataea","Pichia","Eremothecium","Kazachstania","Kluyveromyces","Lachancea","Nakaseomyces","Naumovozyma","Saccharomyces","Tetrapisispora","Torulaspora","Vanderwaltozyma","Sugiyamaella","Schizosaccharomyces","Colletotrichum","Verticillium","Metarhizium","Cordyceps","Trichoderma","Fusarium","Purpureocillium","Pyricularia","Scedosporium","Sporothrix","Chaetomium","Podospora","Thermothelomyces","Neurospora","Sordaria","Phaeoacremonium","Pestalotiopsis","Xylona","Agaricus","Coprinopsis","Schizophyllum","Coniophora","Serpula","Punctularia","Gloeophyllum","Trametes","Heterobasidion","Stereum","Tilletiopsis","Tilletiaria","Pseudomicrostroma","Malassezia","Rhodotorula","Puccinia","Cryptococcus","Kwoniella","Kockovaella","Tremella","Cutaneotrichosporon","Trichosporon","Anthracocystis","Kalmanozyma","Moesziomyces","Pseudozyma","Sporisorium","Ustilago","Wallemia","Vittaforma","Mitosporidium","Encephalitozoon","Rhizophagus","Phycomyces","Rhizopus"
"13722.58cfa82fe4b0c9d6adf6b6aa",0,0,381,1,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,10,0,0,0,1,1,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9114,0,1,2,0,0,1,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b6de",0,0,176,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,1,0,0,1,2,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12374,0,0,2,0,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b64b",7,0,619515,0,0,0,0,3,0,10,0,0,1,0,0,9,0,0,0,29,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,1,0,0,0,8,7,0,3,0,0,1,1,1,3,0,1,0,1,64,0,0,0,2,0,0,0,0,0,3,0,0,4345,0,1,3,0,0,1,4,302882,0,0,0,0,1,0,0,0,0,0,1,0,0
"13722.58cfa82fe4b0c9d6adf6b716",0,0,21914,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21209,0,0,0,0,0,0,0,6801,0,0,0,0,0,0,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b790",0,0,238,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,15,0,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26198,0,0,2,0,0,0,3,73,0,0,0,0,0,0,0,0,0,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b738",0,0,86830,0,0,0,0,6,0,0,0,0,0,0,1,2,0,1,0,22,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,5,0,0,1,0,1,0,0,1,1,1,0,0,0,11,0,0,0,0,0,0,0,0,4,1,0,0,6527,0,0,4,0,0,1,4,32803,0,0,0,0,0,0,0,0,0,0,1,2,0
"13722.58cfa82fe4b0c9d6adf6b7b6",1,0,9658,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261,0,0,2,0,0,0,0,3254,0,0,0,0,0,0,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b7d8",0,0,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14162,0,0,3,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,2,0,1
"13722.58cfa82fe4b0c9d6adf6b7c6",2,0,34515,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10194,0,0,8,0,0,0,0,11710,0,0,0,0,0,0,0,0,0,0,2,0,0
"13722.58cfa82fe4b0c9d6adf6b8fe",2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13749,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b88d",0,0,7867,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12405,0,0,2,0,0,1,0,2643,0,0,0,0,0,0,0,0,0,0,1,0,0
"13722.58cfa82fe4b0c9d6adf6b8b3",2,0,34929,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,1,5,0,0,1,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,7,0,0,3,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,3918,0,4,1,0,0,4,5,11783,0,0,1,0,0,0,0,1,0,0,3,0,0
"13722.58cfa82fe4b0c9d6adf6b903",0,0,2516,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8872,0,0,5,0,0,1,0,745,0,0,0,0,0,0,0,0,0,0,1,0,0
