"","Aureobasidium","Eremomyces","Ramularia","Sphaerulina","Baudoinia","Bonordeniella","Macroventuria","Leptosphaeria","Parastagonospora","Alternaria","Bipolaris","Pyrenophora","Verruconis","Cyphellophora","Capronia","Cladophialophora","Exophiala","Fonsecaea","Rhinocladiella","Aspergillus","Penicillium","Byssochlamys","Rasamsonia","Talaromyces","Blastomyces","Histoplasma","Arthroderma","Microsporum","Nannizzia","Trichophyton","Uncinocarpus","Coccidioides","Paracoccidioides","Glarea","Phialocephala","Botrytis","Sclerotinia","Arthrobotrys","Saitoella","Pneumocystis","Ascoidea","Babjeviella","Candida","Debaryomyces","Hyphopichia","Lodderomyces","Meyerozyma","Scheffersomyces","Spathaspora","Suhomyces","Yamadazyma","Yarrowia","Clavispora","Metschnikowia","Diutina","Cyberlindnera","Komagataella","Wickerhamomyces","Ogataea","Pichia","Eremothecium","Kazachstania","Kluyveromyces","Lachancea","Nakaseomyces","Naumovozyma","Saccharomyces","Tetrapisispora","Torulaspora","Vanderwaltozyma","Sugiyamaella","Schizosaccharomyces","Colletotrichum","Verticillium","Metarhizium","Cordyceps","Trichoderma","Fusarium","Purpureocillium","Pyricularia","Scedosporium","Sporothrix","Chaetomium","Podospora","Thermothelomyces","Neurospora","Sordaria","Phaeoacremonium","Pestalotiopsis","Xylona","Agaricus","Coprinopsis","Schizophyllum","Coniophora","Serpula","Punctularia","Gloeophyllum","Trametes","Heterobasidion","Stereum","Tilletiopsis","Tilletiaria","Pseudomicrostroma","Malassezia","Rhodotorula","Puccinia","Cryptococcus","Kwoniella","Kockovaella","Tremella","Cutaneotrichosporon","Trichosporon","Anthracocystis","Kalmanozyma","Moesziomyces","Pseudozyma","Sporisorium","Ustilago","Wallemia","Vittaforma","Mitosporidium","Encephalitozoon","Rhizophagus","Phycomyces","Rhizopus"
"13767.58cfa830e4b0c9d6adf6c0a8",0,0,0,0,0,0,0,1,7,1,1,0,1,0,0,0,6,0,0,40,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,243,2,1,4,2,1,4,0,0,0,2,0,2,0,0,2,1,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,1,0,2,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"13767.58cfa832e4b0c9d6adf6d54c",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa831e4b0c9d6adf6c37c",0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,114,10,1,0,0,2,0,0,0,0,2,0,0,2,1,1,1,1,1,2,1,0,0,1,44,2,0,2,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,8,0,12,0,0,0,0,0,2,2,0,1,0,4,0,0,0,1,0,0,1,1,2,0,0,1,114,206,5,3,0,3,3,0,1,0,0,0,0,1,0,1,0,0,0,23,1,0
"13767.58cfa832e4b0c9d6adf6d17f",4,0,111,1,2,0,1,1,5,4,0,0,2,0,0,1,1,3,0,251,15,4,0,9,11,2,0,0,1,7,0,2,7,0,0,0,0,0,0,0,0,0,3,0,2,1,2,0,0,0,0,0,9,0,3,4,0,8,0,1,0,50,2,1,0,0,894,0,0,18,0,0,9,1,5,4,14,193,0,24,1,0,6,1,4,15,21,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,3,231,32,2,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,9,0,0
"13767.58cfa832e4b0c9d6adf6d0b1",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"13767.58cfa83ce4b0c9d6adf72dfa",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa832e4b0c9d6adf6d21e",0,0,56,2,1,0,2,2,6,5,1,4,8,0,0,0,3,3,0,315,4,2,0,4,10,2,0,1,0,12,1,2,7,0,0,0,1,0,0,0,0,0,4,0,10,0,0,0,0,0,0,2,7,0,6,59,2,7,0,1,0,0,0,0,0,0,9,0,0,0,0,0,3,0,1,0,16,21,0,54,2,0,2,2,2,15,6,1,1,1,7,0,1,1,3,3,1,1,4,2,0,0,5,3644,5,3,7,0,4,2,0,2,0,0,0,0,1,0,2,0,0,0,67,0,0
"13767.58cfa832e4b0c9d6adf6d0eb",4,0,2,2,0,0,1,1,4,7,0,0,1,0,0,0,15,3,0,109,2,2,0,1,1,1,0,0,0,6,0,2,3,1,1,1,1,1,0,0,0,0,2,4,0,0,4,0,0,0,0,2,1,0,8,0,0,3,0,0,0,1,0,0,0,0,14,0,0,0,0,0,6,1,2,0,13,34,0,12,0,1,2,0,1,3,8,0,1,0,0,0,0,1,1,0,1,0,1,4,4,0,1,236,6,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0
"13767.58cfa831e4b0c9d6adf6c578",4,0,3,1,3,0,0,2,3,2,0,0,0,0,0,0,0,0,0,70,6,3,0,5,1,0,0,1,0,2,1,1,2,1,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,0,2,0,0,0,8,0,1,1,0,0,16,1,0,0,0,282,0,0,5,0,4,1,0,1,0,1,67,0,3,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,4,0,0
"13767.58cfa832e4b0c9d6adf6d28d",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,0,0,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,92,1,2,1,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,1,1,1,0,0,1,30,106,1,3,0,2,1,0,2,0,0,1,1,1,0,2,0,0,0,0,0,0
