"","Microbotryomycetes_ord_Incertae_sedis","Chaetothyriales","Tritirachiales","Cystobasidiales","other","Cystobasidiomycetes_ord_Incertae_sedis","Malasseziales","Pucciniales","Amylocorticiales","other","Helotiales","Verrucariales","Trichosphaeriales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Agaricomycetes_ord_Incertae_sedis","Dothideales","Tilletiales","Ustilaginales","Xylariales","Erythrobasidiales","Eurotiales","Trichosporonales","Mucorales","Filobasidiales","Myrmecridiales","Microascales","other","other","Diaporthales","Atheliales","Cystofilobasidiales","Teloschistales","Saccharomycetales","Glomerellales","Georgefischeriales","Robbauerales","Pleosporales","other","Coniochaetales","Trechisporales","Entylomatales","Pezizales","Lichenostigmatales","Botryosphaeriales","Sordariales","other","Hypocreales","Tremellales","Polyporales","Agaricostilbales","Caliciales","Gloeophyllales","Russulales","Agaricales","Capnodiales","diversity"
"F0042",0,0,0,0,0,0,0.0706182348043297,0,0,0,0,0,0,0,0,0.114696086594505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272912453907458,0.054827822053051,0.732566611157369,5
"F0044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79668593360376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20331406639624,0,0,0,0,0,0,0,0,2
"F0045",0,0,0,0,0,0,0.563309564997257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436690435002743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0046",0,0,0,0,0,0,0.242167631981892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225244657479529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532587710538579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939415821208073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605841787919269,2
"F0006",0,0,0,0,0,0,0.13382105133369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866178948666311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0061",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67621752094278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32378247905722,0,0,0,0,0,0,0,0,2
"F0071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411277782859233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366322143967804,0,0,0,0,0,0,0,0.552090002743986,3
"F0076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
