"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa834e4b0c9d6adf6e6c6",3,0,0,0
"13767.58cfa835e4b0c9d6adf6eab0",0,1,0,0
"13767.58cfa838e4b0c9d6adf70652",80,1,0,4
"13767.58cfa833e4b0c9d6adf6df76",1,1,0,0
"13767.58cfa83ae4b0c9d6adf71cea",3,0,0,0
"13767.58cfa833e4b0c9d6adf6dd67",47,1,0,1
"13767.58cfa833e4b0c9d6adf6deac",3,0,0,0
"13767.58cfa83be4b0c9d6adf72331",1,1,0,0
"13767.58cfa833e4b0c9d6adf6d987",5,0,0,0
"13767.58cfa835e4b0c9d6adf6eac4",7,1,0,0
"13767.58cfa833e4b0c9d6adf6df9b",21,4,0,2
"13767.58cfa833e4b0c9d6adf6dbb9",3,0,0,0
"13767.58cfa833e4b0c9d6adf6dc2c",1,0,0,0
"13767.58cfa838e4b0c9d6adf70658",86,4,0,2
"13767.58cfa83be4b0c9d6adf71f30",3,2,0,0
"13767.58cfa833e4b0c9d6adf6dfe6",108,3,0,4
"13767.58cfa833e4b0c9d6adf6e060",9,0,0,0
"13767.58cfa833e4b0c9d6adf6dfde",5,0,0,0
"13767.58cfa834e4b0c9d6adf6e172",25,1,0,1
"13767.58cfa838e4b0c9d6adf70772",67,1,0,4
"13767.58cfa833e4b0c9d6adf6deb8",39,0,0,2
"13767.58cfa833e4b0c9d6adf6dccc",5,0,0,0
"13767.58cfa838e4b0c9d6adf70b2a",16,0,0,0
"13767.58cfa837e4b0c9d6adf702e8",30,0,0,1
"13767.58cfa835e4b0c9d6adf6ebe8",6,0,0,0
"13767.58cfa838e4b0c9d6adf70b75",8,0,0,1
"13767.58cfa833e4b0c9d6adf6dd86",4,0,0,0
"13767.58cfa833e4b0c9d6adf6dedc",26,0,0,1
"13767.58cfa833e4b0c9d6adf6dfca",23,0,0,1
"13767.58cfa833e4b0c9d6adf6dcee",4,0,0,0
"13767.58cfa834e4b0c9d6adf6e0da",7,0,0,0
"13767.58cfa833e4b0c9d6adf6de60",39,2,0,2
"13767.58cfa834e4b0c9d6adf6e089",2,0,0,0
"13767.58cfa833e4b0c9d6adf6ddec",4,0,0,0
"13767.58cfa834e4b0c9d6adf6e106",9,0,0,0
"13767.58cfa835e4b0c9d6adf6edba",23,0,0,0
"13767.58cfa83be4b0c9d6adf72336",1,0,0,0
"13767.58cfa834e4b0c9d6adf6e13a",8,0,0,0
"13767.58cfa834e4b0c9d6adf6e0cc",6,0,0,0
"13767.58cfa833e4b0c9d6adf6dc00",3,0,0,0
"13767.58cfa833e4b0c9d6adf6df67",4,0,0,0
"13767.58cfa833e4b0c9d6adf6dfbd",7,0,0,0
"13767.58cfa83be4b0c9d6adf725ea",211,2,0,8
"13767.58cfa833e4b0c9d6adf6d896",1,25,0,0
"13767.58cfa835e4b0c9d6adf6ec22",4,0,0,1
"13767.58cfa83ae4b0c9d6adf71a42",7,1,0,0
"13767.58cfa835e4b0c9d6adf6ec2e",22,0,0,1
"13767.58cfa833e4b0c9d6adf6dfcc",0,1,0,0
"13767.58cfa83ae4b0c9d6adf716d3",1,0,0,0
"13767.58cfa834e4b0c9d6adf6e068",5,0,0,1
"13767.58cfa834e4b0c9d6adf6e1b6",99,0,0,5
"13767.58cfa839e4b0c9d6adf71522",2,0,0,0
"13767.58cfa839e4b0c9d6adf71275",11,1,0,1
"13767.58cfa83ae4b0c9d6adf71aaf",6,2,0,0
"13767.58cfa833e4b0c9d6adf6d94c",1,1,0,1
"13767.58cfa833e4b0c9d6adf6dcd2",1,2,0,0
"13767.58cfa833e4b0c9d6adf6de0c",2,1,0,0
"13767.58cfa833e4b0c9d6adf6dd55",8,1,0,1
"13767.58cfa833e4b0c9d6adf6df59",5,0,0,1
"13767.58cfa833e4b0c9d6adf6dfdc",3,0,0,1
"13767.58cfa833e4b0c9d6adf6dbda",1,0,0,0
"13767.58cfa833e4b0c9d6adf6da8f",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dc90",5,1,0,0
"13767.58cfa833e4b0c9d6adf6e042",8,1,0,0
"13767.58cfa834e4b0c9d6adf6e18a",22,0,0,1
"13767.58cfa833e4b0c9d6adf6df7c",6,0,0,0
"13767.58cfa833e4b0c9d6adf6dabb",5,0,0,0
"13767.58cfa835e4b0c9d6adf6ec7a",9,0,0,0
"13767.58cfa833e4b0c9d6adf6dc7b",1,0,0,0
"13767.58cfa833e4b0c9d6adf6ddda",101,0,0,3
"13767.58cfa833e4b0c9d6adf6da7b",13,2,0,1
"13767.58cfa834e4b0c9d6adf6e16d",19,1,0,1
"13767.58cfa834e4b0c9d6adf6e14c",11,0,0,0
"13767.58cfa833e4b0c9d6adf6dfeb",3,0,0,0
"13767.58cfa833e4b0c9d6adf6dd76",2,2,0,0
"13767.58cfa833e4b0c9d6adf6dee0",26,0,0,1
"13767.58cfa834e4b0c9d6adf6e130",2,0,0,0
"13767.58cfa833e4b0c9d6adf6de94",2,0,0,0
"13767.58cfa835e4b0c9d6adf6ec3d",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dac4",6,0,0,0
"13767.58cfa833e4b0c9d6adf6df7a",3,1,0,0
"13767.58cfa838e4b0c9d6adf706be",29,2,0,1
"13767.58cfa834e4b0c9d6adf6e087",2,0,0,0
"13767.58cfa833e4b0c9d6adf6d9fe",1,0,0,0
"13767.58cfa833e4b0c9d6adf6df44",11,1,0,0
"13767.58cfa837e4b0c9d6adf6ffc8",12,1,0,0
"13767.58cfa834e4b0c9d6adf6e0a8",8,1,0,0
"13767.58cfa833e4b0c9d6adf6dbf0",1,2,0,0
"13767.58cfa837e4b0c9d6adf70022",56,1,0,3
"13767.58cfa833e4b0c9d6adf6ddce",2,0,0,0
"13767.58cfa833e4b0c9d6adf6e031",6,1,0,0
"13767.58cfa83ae4b0c9d6adf715f5",0,2,0,0
"13767.58cfa833e4b0c9d6adf6e018",1,0,0,0
"13767.58cfa833e4b0c9d6adf6de46",1,0,0,0
"13767.58cfa833e4b0c9d6adf6da6d",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dd2a",3,0,0,0
"13767.58cfa834e4b0c9d6adf6e1d4",1,0,0,0
"13767.58cfa833e4b0c9d6adf6ddf6",1,0,0,0
"13767.58cfa835e4b0c9d6adf6ed78",23,1,0,0
"13767.58cfa83be4b0c9d6adf72986",0,1,0,0
"13767.58cfa838e4b0c9d6adf70776",191,1,0,5
"13767.58cfa834e4b0c9d6adf6e0b8",1,0,0,0
"13767.58cfa835e4b0c9d6adf6ead6",9,0,0,0
"13767.58cfa834e4b0c9d6adf6e9fe",0,2,0,0
"13767.58cfa838e4b0c9d6adf70d82",28,5,0,1
"13767.58cfa833e4b0c9d6adf6ddc3",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dc7f",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dff2",4,0,0,0
"13767.58cfa838e4b0c9d6adf70b41",20,0,0,0
"13767.58cfa834e4b0c9d6adf6e06e",55,1,0,2
"13767.58cfa838e4b0c9d6adf70f0a",0,1,0,0
"13767.58cfa834e4b0c9d6adf6e9ee",3,2,0,0
"13767.58cfa833e4b0c9d6adf6dbea",2,0,0,0
"13767.58cfa833e4b0c9d6adf6ddaa",1,0,0,0
"13767.58cfa83ae4b0c9d6adf71959",3,0,0,0
"13767.58cfa834e4b0c9d6adf6e200",35,0,0,1
"13767.58cfa833e4b0c9d6adf6ddcc",3,0,0,0
"13767.58cfa838e4b0c9d6adf707d6",39,0,0,1
"13767.58cfa833e4b0c9d6adf6dfb6",15,1,0,1
"13767.58cfa833e4b0c9d6adf6df2e",2,0,0,0
"13767.58cfa833e4b0c9d6adf6dcfa",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dcfd",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dd16",15,0,0,1
"13767.58cfa834e4b0c9d6adf6e135",22,2,0,1
"13767.58cfa833e4b0c9d6adf6df74",1,1,0,0
"13767.58cfa833e4b0c9d6adf6df6e",4,0,0,0
"13767.58cfa838e4b0c9d6adf70ab8",82,0,0,3
"13767.58cfa833e4b0c9d6adf6db89",2,0,0,0
"13767.58cfa838e4b0c9d6adf70854",15,0,0,0
"13767.58cfa833e4b0c9d6adf6de6a",4,0,0,0
"13767.58cfa83be4b0c9d6adf71ea4",13,0,0,1
"13767.58cfa833e4b0c9d6adf6e014",12,1,0,0
"13767.58cfa833e4b0c9d6adf6df5d",16,0,0,0
"13767.58cfa833e4b0c9d6adf6dfd2",10,1,0,0
"13767.58cfa834e4b0c9d6adf6e9bc",5,2,0,0
"13767.58cfa833e4b0c9d6adf6dfa4",23,18,0,2
"13767.58cfa833e4b0c9d6adf6de7b",6,1,0,0
"13767.58cfa833e4b0c9d6adf6de58",30,1,0,1
"13767.58cfa834e4b0c9d6adf6e174",0,1,0,0
"13767.58cfa834e4b0c9d6adf6e080",10,0,0,0
"13767.58cfa833e4b0c9d6adf6ddf1",4,0,0,0
"13767.58cfa833e4b0c9d6adf6da20",50,1,0,2
"13767.58cfa833e4b0c9d6adf6dc9a",3,1,0,0
"13767.58cfa833e4b0c9d6adf6dfdf",21,0,0,1
"13767.58cfa834e4b0c9d6adf6e124",5,0,0,0
"13767.58cfa833e4b0c9d6adf6dcb5",2,0,0,0
"13767.58cfa833e4b0c9d6adf6dce6",3,0,0,0
"13767.58cfa833e4b0c9d6adf6da1c",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dffb",19,0,0,0
"13767.58cfa833e4b0c9d6adf6de18",2,0,0,0
"13767.58cfa833e4b0c9d6adf6df63",14,0,0,0
"13767.58cfa833e4b0c9d6adf6de68",7,0,0,0
"13767.58cfa833e4b0c9d6adf6e000",3,0,0,0
"13767.58cfa833e4b0c9d6adf6dd9d",3,1,0,0
"13767.58cfa833e4b0c9d6adf6dd94",3,0,0,0
"13767.58cfa83ae4b0c9d6adf71b60",6,1,0,0
"13767.58cfa833e4b0c9d6adf6e030",2,0,0,0
"13767.58cfa83be4b0c9d6adf722e8",2,0,0,0
"13767.58cfa834e4b0c9d6adf6e1da",4,0,0,0
"13767.58cfa833e4b0c9d6adf6dcec",12,0,0,0
"13767.58cfa834e4b0c9d6adf6e15a",2,0,0,0
"13767.58cfa833e4b0c9d6adf6dc6f",7,1,0,0
"13767.58cfa833e4b0c9d6adf6df32",0,3,0,0
"13767.58cfa833e4b0c9d6adf6de13",17,0,0,0
"13767.58cfa833e4b0c9d6adf6de82",6,0,0,0
"13767.58cfa833e4b0c9d6adf6da80",2,1,0,0
"13767.58cfa837e4b0c9d6adf6fced",16,0,0,1
"13767.58cfa838e4b0c9d6adf70d8a",15,0,0,1
"13767.58cfa83be4b0c9d6adf722f4",0,1,0,0
"13767.58cfa838e4b0c9d6adf7081e",22,1,0,1
"13767.58cfa833e4b0c9d6adf6d9d6",9,0,0,0
"13767.58cfa838e4b0c9d6adf707ce",2,1,0,0
"13767.58cfa83be4b0c9d6adf7260e",1,1,0,0
"13767.58cfa834e4b0c9d6adf6e20c",14,1,0,1
"13767.58cfa834e4b0c9d6adf6e134",2,0,0,0
"13767.58cfa834e4b0c9d6adf6e0be",2,0,0,0
"13767.58cfa837e4b0c9d6adf70059",124,2,0,3
"13767.58cfa834e4b0c9d6adf6e2f4",6,0,0,0
"13767.58cfa833e4b0c9d6adf6df20",1,0,0,0
"13767.58cfa833e4b0c9d6adf6ddf4",2,0,0,0
"13767.58cfa833e4b0c9d6adf6dfe8",2,1,0,3
"13767.58cfa834e4b0c9d6adf6e142",3,0,0,0
"13767.58cfa835e4b0c9d6adf6edc6",3,1,0,0
"13767.58cfa833e4b0c9d6adf6debc",19,0,0,1
"13767.58cfa833e4b0c9d6adf6de74",13,0,0,0
"13767.58cfa833e4b0c9d6adf6dca2",1,0,0,0
"13767.58cfa835e4b0c9d6adf6ec26",11,2,0,1
"13767.58cfa835e4b0c9d6adf6eac8",60,0,0,3
"13767.58cfa833e4b0c9d6adf6e03d",1,0,0,0
"13767.58cfa833e4b0c9d6adf6de62",3,0,0,0
"13767.58cfa83be4b0c9d6adf72988",0,1,0,0
"13767.58cfa834e4b0c9d6adf6e1c9",18,0,0,2
"13767.58cfa833e4b0c9d6adf6dd92",9,0,0,0
"13767.58cfa839e4b0c9d6adf712ce",41,1,0,1
"13767.58cfa833e4b0c9d6adf6dfb0",1,0,0,0
"13767.58cfa839e4b0c9d6adf7109e",65,1,0,3
"13767.58cfa83ae4b0c9d6adf71e4e",2,1,0,0
"13767.58cfa838e4b0c9d6adf70cd6",51,14,0,1
"13767.58cfa833e4b0c9d6adf6e02c",3,0,0,0
"13767.58cfa834e4b0c9d6adf6ea1e",2,0,0,0
"13767.58cfa833e4b0c9d6adf6dc54",24,1,0,1
"13767.58cfa833e4b0c9d6adf6dc96",1,1,0,0
"13767.58cfa833e4b0c9d6adf6dac2",1,1,0,0
"13767.58cfa838e4b0c9d6adf70ae4",3,0,0,0
"13767.58cfa834e4b0c9d6adf6e0d2",13,0,0,0
"13767.58cfa833e4b0c9d6adf6dd88",1,1,0,0
"13767.58cfa833e4b0c9d6adf6deba",10,0,0,0
"13767.58cfa833e4b0c9d6adf6dffa",4,1,0,5
"13767.58cfa838e4b0c9d6adf70ae8",37,4,0,1
"13767.58cfa833e4b0c9d6adf6e00c",1,0,0,0
"13767.58cfa838e4b0c9d6adf708ca",20,1,0,1
"13767.58cfa833e4b0c9d6adf6dac6",7,0,0,0
"13767.58cfa833e4b0c9d6adf6dd09",4,1,0,0
"13767.58cfa838e4b0c9d6adf708c6",4,1,0,0
"13767.58cfa833e4b0c9d6adf6de4a",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dab8",0,2,0,0
"13767.58cfa833e4b0c9d6adf6ddd2",1,0,0,0
"13767.58cfa834e4b0c9d6adf6e201",3,0,0,0
"13767.58cfa838e4b0c9d6adf70886",49,1,0,2
"13767.58cfa834e4b0c9d6adf6e07c",7,1,0,0
"13767.58cfa838e4b0c9d6adf70872",20,2,0,0
"13767.58cfa833e4b0c9d6adf6db8d",3,0,0,0
"13767.58cfa834e4b0c9d6adf6e109",2,1,0,0
"13767.58cfa839e4b0c9d6adf7158e",2,0,0,0
"13767.58cfa833e4b0c9d6adf6def7",10,0,0,0
"13767.58cfa833e4b0c9d6adf6df3e",3,0,0,0
"13767.58cfa834e4b0c9d6adf6e213",5,0,0,1
"13767.58cfa839e4b0c9d6adf7101c",1,0,0,0
"13767.58cfa838e4b0c9d6adf708a6",2,0,0,0
"13767.58cfa833e4b0c9d6adf6dfec",7,0,0,0
"13767.58cfa835e4b0c9d6adf6eaca",56,1,0,1
"13767.58cfa835e4b0c9d6adf6ec76",6,0,0,1
"13767.58cfa833e4b0c9d6adf6deb5",6,0,0,0
"13767.58cfa833e4b0c9d6adf6dcac",1,0,0,0
"13767.58cfa833e4b0c9d6adf6e036",10,0,0,0
"13767.58cfa834e4b0c9d6adf6e06a",5,3,0,0
"13767.58cfa833e4b0c9d6adf6dc64",16,0,0,1
"13767.58cfa833e4b0c9d6adf6dc79",1,3,0,0
"13767.58cfa83be4b0c9d6adf72793",1,1,0,0
"13767.58cfa833e4b0c9d6adf6e038",5,0,0,0
"13767.58cfa833e4b0c9d6adf6dfc3",12,1,0,0
"13767.58cfa833e4b0c9d6adf6ddb2",3,1,0,0
"13767.58cfa83be4b0c9d6adf726a6",0,1,0,0
"13767.58cfa83be4b0c9d6adf71f3e",1,0,0,1
"13767.58cfa833e4b0c9d6adf6df86",2,0,0,0
"13767.58cfa838e4b0c9d6adf708b6",50,0,0,1
"13767.58cfa838e4b0c9d6adf707be",8,1,0,1
"13767.58cfa833e4b0c9d6adf6ddd8",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dbb4",3,0,0,0
"13767.58cfa833e4b0c9d6adf6e057",6,0,0,0
"13767.58cfa833e4b0c9d6adf6dd00",29,0,0,1
"13767.58cfa833e4b0c9d6adf6de64",12,0,0,1
"13767.58cfa838e4b0c9d6adf70e06",4,2,0,0
"13767.58cfa833e4b0c9d6adf6de14",1,0,0,0
"13767.58cfa833e4b0c9d6adf6e044",2,1,0,0
"13767.58cfa838e4b0c9d6adf70888",35,1,0,1
"13767.58cfa834e4b0c9d6adf6e4f2",736,3,0,26
"13767.58cfa833e4b0c9d6adf6defe",3,0,0,0
"13767.58cfa833e4b0c9d6adf6dd10",5,1,0,0
"13767.58cfa83be4b0c9d6adf725e0",5,2,0,0
"13767.58cfa833e4b0c9d6adf6de6c",11,0,0,1
"13767.58cfa835e4b0c9d6adf6eac6",108,2,0,5
"13767.58cfa837e4b0c9d6adf7033a",174,2,0,5
"13767.58cfa838e4b0c9d6adf707ec",19,9,0,1
"13767.58cfa83be4b0c9d6adf72326",0,2,0,0
"13767.58cfa833e4b0c9d6adf6dada",1,0,0,0
"13767.58cfa833e4b0c9d6adf6de85",2,0,0,1
"13767.58cfa833e4b0c9d6adf6e020",11,2,0,0
"13767.58cfa833e4b0c9d6adf6de38",5,0,0,1
"13767.58cfa834e4b0c9d6adf6e1ea",12,0,0,1
"13767.58cfa833e4b0c9d6adf6de78",4,0,0,0
"13767.58cfa83be4b0c9d6adf726a4",0,1,0,0
"13767.58cfa834e4b0c9d6adf6ea2f",1,0,0,0
"13767.58cfa837e4b0c9d6adf703a2",124,0,0,7
"13767.58cfa833e4b0c9d6adf6e008",9,1,0,1
"13767.58cfa833e4b0c9d6adf6dcce",3,0,0,0
"13767.58cfa833e4b0c9d6adf6deea",2,0,0,0
"13767.58cfa833e4b0c9d6adf6dca7",1,0,0,0
"13767.58cfa838e4b0c9d6adf7084e",88,0,0,4
"13767.58cfa833e4b0c9d6adf6deca",5,0,0,0
"13767.58cfa838e4b0c9d6adf708fc",22,0,0,1
"13767.58cfa834e4b0c9d6adf6e1d0",17,1,0,0
"13767.58cfa833e4b0c9d6adf6db60",5,1,0,0
"13767.58cfa834e4b0c9d6adf6e09a",0,2,0,0
"13767.58cfa833e4b0c9d6adf6dd8c",15,1,0,0
"13767.58cfa833e4b0c9d6adf6dab6",4,1,0,0
"13767.58cfa834e4b0c9d6adf6e1a0",1,2,0,0
"13767.58cfa833e4b0c9d6adf6dc82",3,0,0,0
"13767.58cfa838e4b0c9d6adf70d7a",17,0,0,1
"13767.58cfa833e4b0c9d6adf6df3a",20,1,0,0
"13767.58cfa833e4b0c9d6adf6dfd4",18,0,0,1
"13767.58cfa833e4b0c9d6adf6d9e5",5,1,0,0
"13767.58cfa834e4b0c9d6adf6e1ee",2,0,0,0
"13767.58cfa835e4b0c9d6adf6f31d",8,0,0,0
"13767.58cfa834e4b0c9d6adf6e23c",5,1,0,1
"13767.58cfa834e4b0c9d6adf6e41b",11,1,0,1
"13767.58cfa833e4b0c9d6adf6dfb2",4,1,0,0
"13767.58cfa83ae4b0c9d6adf71700",0,1,0,0
"13767.58cfa834e4b0c9d6adf6e17c",4,1,0,0
"13767.58cfa834e4b0c9d6adf6e236",12,0,0,0
"13767.58cfa838e4b0c9d6adf7086a",81,0,0,2
"13767.58cfa838e4b0c9d6adf70a88",27,0,0,1
"13767.58cfa833e4b0c9d6adf6dece",3,0,0,0
"13767.58cfa834e4b0c9d6adf6e0c2",2,0,0,0
"13767.58cfa833e4b0c9d6adf6debe",1,0,0,0
"13767.58cfa838e4b0c9d6adf70878",20,1,0,0
"13767.58cfa838e4b0c9d6adf707a7",12,0,0,0
"13767.58cfa833e4b0c9d6adf6df92",2,1,0,0
"13767.58cfa833e4b0c9d6adf6dd20",2,2,0,0
"13767.58cfa833e4b0c9d6adf6ded0",2,0,0,0
"13767.58cfa835e4b0c9d6adf6ec4a",6,1,0,0
"13767.58cfa838e4b0c9d6adf708ae",11,0,0,1
"13767.58cfa833e4b0c9d6adf6df93",1,2,0,0
"13767.58cfa833e4b0c9d6adf6ddbc",1,0,0,0
"13767.58cfa833e4b0c9d6adf6dca0",3,0,0,0
"13767.58cfa833e4b0c9d6adf6de40",1,1,0,0
"13767.58cfa833e4b0c9d6adf6e022",5,0,0,0
"13767.58cfa838e4b0c9d6adf70ecf",7,3,0,1
"13767.58cfa833e4b0c9d6adf6dee2",185,1,0,9
"13767.58cfa833e4b0c9d6adf6df0a",6,3,0,0
"13767.58cfa838e4b0c9d6adf7085a",125,2,0,2
"13767.58cfa833e4b0c9d6adf6dc83",4,0,0,0
"13767.58cfa838e4b0c9d6adf707d3",8,0,0,0
"13767.58cfa834e4b0c9d6adf6e13c",2,0,0,0
"13767.58cfa837e4b0c9d6adf6fcdc",13,2,0,0
"13767.58cfa833e4b0c9d6adf6dede",27,0,0,2
"13767.58cfa834e4b0c9d6adf6e14a",2,0,0,0
"13767.58cfa834e4b0c9d6adf6e180",1,0,0,0
"13767.58cfa834e4b0c9d6adf6e0c4",5,0,0,0
"13767.58cfa833e4b0c9d6adf6de8c",1,0,0,0
"13767.58cfa834e4b0c9d6adf6e10e",4,0,0,0
"13767.58cfa833e4b0c9d6adf6df73",4,0,0,0
"13767.58cfa834e4b0c9d6adf6e292",55,0,0,1
"13767.58cfa833e4b0c9d6adf6df0e",4,1,0,0
"13767.58cfa833e4b0c9d6adf6ddd4",1,1,0,0
"13767.58cfa834e4b0c9d6adf6e146",3,0,0,0
"13767.58cfa83be4b0c9d6adf725f6",1,1,0,0
"13767.58cfa837e4b0c9d6adf6fce7",16,4,0,1
"13767.58cfa835e4b0c9d6adf6eab4",27,0,0,0
