"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13722.58cfa82fe4b0c9d6adf6b64a",12794,15580,0,0
"13722.58cfa82fe4b0c9d6adf6b659",95,10918,0,1
"13722.58cfa82fe4b0c9d6adf6b653",533,11877,0,1
"13722.58cfa82fe4b0c9d6adf6b66c",421,9758,0,3
"13722.58cfa82ee4b0c9d6adf6ae52",47021,27236,0,2
"13722.58cfa82fe4b0c9d6adf6b6ba",50106,18516,0,1
"13722.58cfa82fe4b0c9d6adf6b704",19801,22555,0,2
"13722.58cfa82fe4b0c9d6adf6b6aa",476,9235,0,0
"13722.58cfa82fe4b0c9d6adf6b6de",225,12440,0,2
"13722.58cfa82fe4b0c9d6adf6b64b",619638,307306,0,1
"13722.58cfa82fe4b0c9d6adf6b716",21932,28010,0,0
"13722.58cfa82fe4b0c9d6adf6b790",275,26276,0,2
"13722.58cfa82fe4b0c9d6adf6b738",86891,39355,0,3
"13722.58cfa82fe4b0c9d6adf6b7b6",9705,7517,0,0
"13722.58cfa82fe4b0c9d6adf6b7d8",1244,14632,0,3
"13722.58cfa82fe4b0c9d6adf6b7c6",34542,21912,0,2
"13722.58cfa82fe4b0c9d6adf6b8fe",36,13753,0,0
"13722.58cfa82fe4b0c9d6adf6b88d",7898,15051,0,1
"13722.58cfa82fe4b0c9d6adf6b8b3",35002,15722,1,3
"13722.58cfa82fe4b0c9d6adf6b903",2533,9623,0,1
"13722.58cfa82fe4b0c9d6adf6b90e",21107,14530,0,1
"13722.58cfa82fe4b0c9d6adf6b912",31354,18179,0,0
"13722.58cfa82fe4b0c9d6adf6b7c4",89964,49941,0,4
"13722.58cfa82fe4b0c9d6adf6b5f4",193,24100,0,1
"13722.58cfa82ee4b0c9d6adf6ae62",27,2634,0,0
"13722.58cfa82ee4b0c9d6adf6ae74",1172,7042,0,0
"13722.58cfa82ee4b0c9d6adf6ae68",1732,7210,0,1
"13722.58cfa82ee4b0c9d6adf6afe6",185,7681,0,0
"13722.58cfa82fe4b0c9d6adf6b624",7893,5461,0,0
"13722.58cfa82fe4b0c9d6adf6b5da",50,3932,0,1
"13722.58cfa82fe4b0c9d6adf6b5e4",23,1319,0,0
"13722.58cfa82fe4b0c9d6adf6b617",2333,2924,0,3
"13722.58cfa82fe4b0c9d6adf6b694",21199,17738,0,0
"13722.58cfa82fe4b0c9d6adf6b67d",78704,41597,0,1
"13722.58cfa82fe4b0c9d6adf6b726",16974,11038,0,1
"13722.58cfa82fe4b0c9d6adf6b7b0",63294,33676,0,1
"13722.58cfa82fe4b0c9d6adf6b797",37747,23746,0,0
"13722.58cfa82fe4b0c9d6adf6b70c",78037,38913,0,1
"13722.58cfa82fe4b0c9d6adf6b77c",21,1480,0,0
"13722.58cfa82fe4b0c9d6adf6b7da",10339,6393,0,1
"13722.58cfa82fe4b0c9d6adf6b7d4",4700,3523,0,5
"13722.58cfa82fe4b0c9d6adf6b8b8",137842,65710,0,2
"13722.58cfa82fe4b0c9d6adf6b914",6414,8419,0,1
"13722.58cfa82fe4b0c9d6adf6b98e",14,5130,0,1
"13722.58cfa830e4b0c9d6adf6baf6",17,10866,0,0
"13722.58cfa830e4b0c9d6adf6bac2",123758,66133,0,0
"13722.58cfa82ee4b0c9d6adf6afc4",8464,9317,0,0
"13722.58cfa82ee4b0c9d6adf6ae48",8594,14444,0,7
"13722.58cfa82fe4b0c9d6adf6b6fa",3835,30518,0,5
"13722.58cfa82fe4b0c9d6adf6b7de",67,14190,0,6
"13722.58cfa82fe4b0c9d6adf6b7fc",2927,14219,1,4
"13722.58cfa82fe4b0c9d6adf6b7f7",8819,32196,0,6
"13722.58cfa82fe4b0c9d6adf6b800",21853,14686,0,2
"13722.58cfa82fe4b0c9d6adf6b97c",366,21643,0,1
"13722.58cfa82fe4b0c9d6adf6b756",68,38255,0,3
"13722.58cfa82fe4b0c9d6adf6b9e2",1352,15543,1,6
"13722.58cfa82fe4b0c9d6adf6b99a",2804,20195,0,3
"13722.58cfa82fe4b0c9d6adf6b5f0",87,11255,0,0
"13722.58cfa82ee4b0c9d6adf6ae5c",63315,25914,0,6
"13722.58cfa82fe4b0c9d6adf6b5e6",78,13161,0,0
"13722.58cfa82ee4b0c9d6adf6b038",23805,20737,0,1
"13722.58cfa82fe4b0c9d6adf6b6a2",93,20407,0,1
"13722.58cfa82fe4b0c9d6adf6b6be",54,16576,0,2
"13722.58cfa82ee4b0c9d6adf6b014",26039,11245,0,3
"13722.58cfa82fe4b0c9d6adf6b6dc",90,13159,0,0
"13722.58cfa82fe4b0c9d6adf6b6d2",165,13960,0,7
