"","Mucoromycota","Basidiomycota","Ascomycota","diversity"
"F0923",0,1,0,1
"F0928",0,1,1,2
"F0930",0,0,1,1
"F0931",0,0,1,1
"F0933",0,1,1,2
"F0934",0,1,1,2
"F0935",0,1,1,2
"F0936",0,1,0,1
"F0937",0,0,1,1
"F0938",0,1,0,1
"F0939",0,1,1,2
"F0940",0,1,1,2
"F0941",0,1,1,2
"F0942",0,1,1,2
"F0944",0,1,1,2
"F0945",0,0,1,1
"F0946",0,1,1,2
"F0947",0,1,0,1
"F0948",0,0,1,1
"F0950",0,0,1,1
"F0951",0,1,1,2
"F0952",0,1,1,2
"F0953",0,0,1,1
"F1176",0,0,1,1
"F1182",0,0,1,1
"F1183",0,1,1,2
"F1186",0,1,1,2
"F1193",0,1,0,1
"F1194",0,0,1,1
"F1197",0,1,0,1
"F1199",0,0,1,1
"F1201",0,0,1,1
"F1203",0,0,1,1
"F1208",0,0,1,1
"F1210",0,1,1,2
"F1212",0,0,1,1
"F1215",0,1,0,1
"F1085",0,0,1,1
"F1088",0,0,1,1
"F1089",0,0,1,1
"F1092",0,0,1,1
"F1093",0,0,1,1
"F1094",0,1,0,1
"F1120",0,1,1,2
"F1122",0,1,0,1
"F1123",0,1,0,1
"F1127",0,1,0,1
"F1129",0,1,1,2
"F1136",0,1,0,1
"F1137",0,0,1,1
"F1138",0,1,1,2
"F1140",0,0,1,1
"F1142",0,1,0,1
"F1143",0,1,0,1
"F1144",0,1,0,1
"F1145",0,1,0,1
"F1342",0,1,1,2
"F1361",0,0,1,1
"F1427",0,0,1,1
"F1437",0,0,1,1
"F1441",0,1,0,1
"F1442",0,0,1,1
"F1451",0,1,1,2
"F1470",0,1,1,2
"F1479",0,0,1,1
"F1483",0,0,1,1
"F1484",0,1,1,2
"F1494",0,0,1,1
"F1523",0,1,1,2
"F1526",0,1,1,2
"F1527",0,1,1,2
"F1329",0,1,1,2
"F1338",0,1,0,1
"F1340",0,1,0,1
"F1638",0,1,1,2
"F1640",0,1,1,2
"F1641",0,1,1,2
"F1642",0,1,1,2
"F1644",0,1,1,2
"F1819",0,1,1,2
"F1820",0,0,1,1
"F1821",0,0,1,1
"F1822",0,1,1,2
"F1824",0,0,1,1
"F1628",0,1,1,2
"F1646",0,1,1,2
"F1826",0,1,0,1
"F1827",0,1,0,1
"F1829",0,1,0,1
"F1830",0,1,1,2
"F1647",0,1,1,2
"F1654",0,1,1,2
"F1630",0,1,1,2
"F1631",0,1,0,1
"F1632",0,1,1,2
