"","Helotiaceae","Herpotrichiellaceae","Rhizopodaceae","Tricholomataceae","Malasseziaceae","Leptosphaeriaceae","Pucciniaceae","Stereaceae","Tremellaceae","Verrucariaceae","Sporidiobolaceae","Pneumocystidaceae","Dissoconiaceae","Debaryomycetaceae","Cyphellophoraceae","Ustilaginaceae","Glomerellaceae","Phaffomycetaceae","Aspergillaceae","Saccharomycetaceae","Trichosporonaceae","Pleosporaceae","Sporormiaceae","Trichocomaceae","Microascaceae","Mycosphaerellaceae","Didymosphaeriaceae","Hyaloscyphaceae","Dermateaceae","Psathyrellaceae","Pichiaceae","Schizophyllaceae","Ophiocordycipitaceae","Dipodascaceae","Sclerotiniaceae","Plectosphaerellaceae","Didymellaceae","Hypocreaceae","Phaeosphaeriaceae","Thermoascaceae","Clavicipitaceae","Teratosphaeriaceae","Botryosphaeriaceae","Sporocadaceae","Nectriaceae","Phanerochaetaceae","Cordycipitaceae","Trichomonascaceae","Sordariaceae","Polyporaceae","Gloeophyllaceae","Agaricaceae","diversity"
"F0050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0006",0,0,0,0,0.13382105133369,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866178948666311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0061",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0008",0,0,0,0,0,0,0,0,0,0,0,0,0,0.918215233816622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0817847661833776,0,0,0,0,0,0,0,2
"F0078",0,0,0,0,0.683652815811406,0,0,0,0,0,0,0,0,0.316347184188594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767596022616494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232403977383506,0,0,0,0,0,0,0,2
"F0110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0118",0,0,0,0,0.357944130801378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468509421511841,0.139196422025075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0858200747855415,0,0,0.370188430236821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"F0123",0,0,0,0,0,0,0,0,0,0,0.586508507069255,0,0,0,0,0,0,0,0.413491492930745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0125",0,0,0,0,0.762067970272025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237932029727975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0127",0,0,0,0,0.0792420646692376,0,0,0,0,0,0.0598338771877781,0,0,0,0,0,0,0,0.0101972708395135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.850726787303471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
