"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0357",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3
"F0359",0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,4
"F0360",1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4
"F0368",1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4
"F0369",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0377",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3
"F0212",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0213",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3
"F0215",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0216",1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,8
"F0218",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0219",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0220",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0221",1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,5
"F0222",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3
"F0228",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0230",1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,7
"F0232",0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,4
"F0233",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"F0235",1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,5
"F0236",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
"F0237",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0238",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4
"F0240",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
"F0243",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0248",1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,5
"F0249",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
"F0258",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
"F0259",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
"F0264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0273",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0278",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
"F0279",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3
"F0489",1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,6
"F0494",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F0496",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0497",1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,5
"F0500",1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,6
"F0501",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
"F0506",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
"F0507",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3
"F0510",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
"F0513",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"F0478",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F0514",1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5
