"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0777",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0786",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0789",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0790",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3
"F0794",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3
"F0795",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
"F0687",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"F0688",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0689",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0697",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"F0698",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0699",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0701",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0703",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0705",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0708",0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,5
"F0711",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0716",0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,5
"F0721",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F0726",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0728",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0729",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0730",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0733",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
"F0735",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
