"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa832e4b0c9d6adf6d26f",22,282,0,0,0,0,217,0,67,0,9,1,142,1,1,2,1,15,0,15,0
"13767.58cfa83ce4b0c9d6adf7301f",70,183,9,0,0,0,28,0,56,0,3,0,77,0,4,1,0,0,0,17,0
"13767.58cfa83ce4b0c9d6adf73083",2,27,0,0,0,0,4,0,5,0,0,0,3,0,0,0,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72fd5",0,3,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72f6a",2,104,0,0,0,0,5,0,23,0,0,0,3,0,0,0,1,0,0,7,0
"13767.58cfa830e4b0c9d6adf6c09a",5,33,0,0,0,0,201,0,12,0,0,0,12,0,0,0,0,0,0,3,0
"13767.58cfa832e4b0c9d6adf6d072",1,12,1,0,0,0,8,0,3,0,2,0,28,0,0,1,0,2,0,4,0
"13767.58cfa830e4b0c9d6adf6c0a0",39,88,0,0,0,0,35,3,31,0,13,0,176,1,0,1,0,2,0,3,0
"13767.58cfa830e4b0c9d6adf6c090",2,158,0,0,0,0,16,0,31,0,0,0,28,0,1,0,0,0,0,9,0
"13767.58cfa830e4b0c9d6adf6c2ef",147,1295,1,0,0,0,102,0,314,2,5,0,77,1,2,0,1,0,0,53,0
"13767.58cfa831e4b0c9d6adf6c4fb",47,251,150,2,0,3,26,2,54,0,1,1,16,3,0,1,1,1,0,4,2
"13767.58cfa832e4b0c9d6adf6d15c",22,15,0,0,0,0,9,0,2,0,4,0,37,0,0,0,2,1,0,2,0
"13767.58cfa83ce4b0c9d6adf72f9f",6,30,0,0,0,0,173,0,10,0,0,0,11,0,0,0,0,0,0,4,0
"13767.58cfa831e4b0c9d6adf6ca0a",38,210,1,0,0,0,28,0,61,0,0,0,65,2,1,0,0,0,0,18,0
