"","Mucoromycota","Basidiomycota","other","Ascomycota","diversity"
"F0483",0,0.640626640994224,0,0.359373359005776,2
"F0566",0,0.159602192732828,0,0.840397807267172,2
"F0567",0,0.144385561443856,0,0.855614438556144,2
"F0568",0,0.473964739647396,0,0.526035260352604,2
"F0569",0,0,0,1,1
"F0580",0,0.163755579840338,0,0.836244420159662,2
"F0770",0,0.866221182759773,0,0.133778817240227,2
"F0581",0,0.704601823599736,0,0.295398176400264,2
"F0777",0,0.273450626089713,0,0.726549373910287,2
"F0781",0,0,0,1,1
"F0582",0,0,0,1,1
"F0786",0,1,0,0,1
"F0790",0,0.948449272181991,0,0.0515507278180089,2
"F0794",0,0.757903154821327,0,0.242096845178673,2
"F0800",0,0,0,1,1
"F0809",0,0.0117934671888087,0,0.988206532811191,2
"F0811",0,0.0412138130807281,0,0.958786186919272,2
"F0812",0,0.551639527102387,0.448360472897613,0,2
"F0813",0,0.038464014419982,0,0.961535985580018,2
"F0817",0,0,0,1,1
"F0818",0,1,0,0,1
"F0586",0,0,0,1,1
"F0826",0,0.342155009451796,0.0815356388302013,0.576309351718003,3
"F0827",0,0.0723955379088675,0,0.927604462091133,2
"F0829",0,0.730429000925069,0.066518270120259,0.203052728954672,3
"F0830",0,1,0,0,1
"F0832",0,0,0,1,1
"F0833",0,1,0,0,1
"F0836",0,0.317371408566928,0,0.682628591433072,2
"F0837",0,0,0,1,1
"F0839",0,0.27851202005241,0,0.72148797994759,2
"F0840",0,0,0,1,1
"F0841",0,1,0,0,1
"F0845",0,0,0,1,1
"F0848",0,0,0,1,1
"F0850",0,0.803486399771116,0,0.196513600228884,2
"F0851",0,1,0,0,1
"F0854",0,0.277499496576722,0,0.722500503423278,2
"F0856",0,0,0,1,1
"F0858",0,1,0,0,1
"F0670",0,0,0,1,1
"F0671",0,1,0,0,1
"F0672",0,1,0,0,1
"F0673",0,1,0,0,1
"F0674",0,0,0,1,1
"F0675",0,1,0,0,1
"F0676",0,1,0,0,1
"F0681",0,0,0,1,1
"F0683",0,0,0,1,1
"F0689",0,0,0,1,1
"F0698",0,0,0,1,1
"F0699",0,1,0,0,1
"F0701",0,1,0,0,1
"F0716",0,0.157484053423611,0,0.842515946576389,2
"F0726",0,0,0,1,1
"F0729",0,0,0,1,1
"F0733",0,0,0,1,1
"F0735",0,0,0,1,1
"F0737",0,0,0,1,1
"F0740",0,1,0,0,1
"F0741",0,0,0,1,1
"F0755",0,1,0,0,1
"F0602",0,0.803576952822893,0,0.196423047177108,2
"F0605",0,0.598121988385981,0,0.401878011614019,2
"F0607",0,0.254076968096044,0,0.745923031903956,2
