"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0351",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F0353",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0356",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
"F0368",1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4
"F0369",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0376",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0388",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3
"F0391",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"F0396",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"F0397",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0398",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
"F0405",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F0411",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0414",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0415",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0416",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0419",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0420",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0422",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0424",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0430",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0432",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0435",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
"F0439",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"F0444",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0212",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0446",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0458",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"F0216",1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,8
"F0219",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0221",1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,5
"F0230",1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,7
"F0232",0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,4
"F0235",1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,5
"F0236",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
"F0238",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4
"F0240",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
"F0248",1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,5
"F0259",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
"F0267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0273",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0278",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
"F0489",1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,6
"F0494",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"F0496",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0497",1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,5
"F0500",1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,6
"F0501",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
"F0506",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
"F0507",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3
"F0510",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
"F0513",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"F0478",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F0514",1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5
"F0515",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
"F0516",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
"F0517",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
"F0519",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0522",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
"F0479",0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,4
"F0525",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4
"F0538",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0541",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"F0545",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0546",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
"F0482",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0483",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
"F0566",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
"F0567",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0568",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F0569",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0580",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F0770",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F0581",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,4
"F0777",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0582",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"F0786",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0790",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3
"F0794",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3
"F0800",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0809",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
"F0811",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F0812",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0813",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
"F0817",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0818",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0586",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"F0826",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
"F0827",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
"F0829",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3
"F0830",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0832",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0833",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"F0836",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"F0837",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0839",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"F0840",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0841",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"F0845",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0848",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0850",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3
"F0851",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"F0854",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"F0856",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0858",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0671",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0672",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0673",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0675",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0676",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"F0681",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0689",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0698",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0699",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0701",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F0716",0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,5
"F0726",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"F0729",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0733",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
"F0735",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0737",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0740",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0741",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"F0755",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"F0602",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"F0605",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
