"","Dothideales","Eremomycetales","Mycosphaerellales","Fungi_Ascomycota_Dothideomycetes_other","Pleosporales","Venturiales","Chaetothyriales","Eurotiales","Onygenales","Helotiales","Orbiliales","Fungi_Ascomycota_other_other","Pneumocystidales","Saccharomycetales","Schizosaccharomycetales","Glomerellales","Hypocreales","Magnaporthales","Microascales","Ophiostomatales","Sordariales","Togniniales","Xylariales","Xylonales","Agaricales","Boletales","Corticiales","Gloeophyllales","Polyporales","Russulales","Entylomatales","Georgefischeriales","Microstromatales","Malasseziales","Sporidiobolales","Pucciniales","Tremellales","Trichosporonales","Ustilaginales","Wallemiales","Fungi_Microsporidia_other_other","Glomerales","Mucorales"
"13767.58cfa83ce4b0c9d6adf72bf4",0,3,21286,0,18,0,33,58,30,7,0,1,1,21,3,12,918,4,1,0,11,1,1,0,4,2,2,1,2,2,0,0,2,44,20,4,18,10922,6,1,0,2,1
"13767.58cfa83ce4b0c9d6adf72c8c",0,1,9085,0,101,1,26,137,74,28,6,1,5,82,7,25,147279,1,2,2,19,3,6,0,8,7,2,2,3,3,0,0,2,69,22,4,20,4323,12,4,1,5,2
"13767.58cfa83ce4b0c9d6adf72c0e",0,0,2206,0,11,1,3,59,21,6,0,0,0,11,3,2,46,4,0,0,5,1,0,0,1,1,0,0,0,3,0,0,0,20,4,2,7,926,2,0,0,1,1
"13767.58cfa83ce4b0c9d6adf72b17",0,0,14583,0,1,0,2,44,11,0,0,0,0,14,0,1,298181,6,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,122,0,0,1,5468,1,0,0,2,1
"13767.58cfa83ce4b0c9d6adf72be6",0,0,2451,0,1,0,0,19,4,0,0,0,0,5,0,3,20,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,3,4,0,1042,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72cbc",0,0,646,0,9,0,0,60,13,2,0,0,0,14,0,8,27,4,5,0,7,1,0,0,1,1,1,0,0,0,0,0,0,22,2,0,5,301,1,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72dca",0,0,1449,0,9,0,4,62,25,3,1,0,0,54,5,4,20,9,0,0,8,0,0,0,3,1,0,1,1,2,0,0,1,36,1,0,6,689,2,2,0,3,2
"13767.58cfa83ce4b0c9d6adf72ccc",3,5,4996,1,143,3,128,362,296,107,20,11,7,155,21,49,201,6,4,4,51,4,7,0,10,14,6,3,4,11,0,0,5,113,15,6,73,2266,23,2,2,11,5
"13767.58cfa834e4b0c9d6adf6e279",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72c1d",0,0,16830,0,9,0,1,40,8,0,0,0,0,6,1,3,282520,2,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,34,2,0,2,8007,2,0,1,0,0
"13767.58cfa834e4b0c9d6adf6e1a2",0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e56e",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72d8c",1,0,1229,0,6,0,2,28,10,0,0,0,0,6,0,3,582,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,151,4,1,3,560,2,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72b98",0,0,30476,0,8,0,0,30,15,2,0,1,0,16,1,4,17,3,1,0,10,1,0,0,3,2,2,1,1,2,0,0,5,295,2,1,9,9891,4,0,0,1,1
"13767.58cfa83ce4b0c9d6adf72b4e",1,0,1264,0,19,1,11,93,36,8,1,1,2,38,5,25,20114,5,1,2,17,3,7,0,1,3,1,1,1,2,0,0,3,86,6,1,17,651,16,4,1,3,2
"13767.58cfa83be4b0c9d6adf72a63",0,0,472,0,10,0,1,51,16,2,0,0,0,19,0,3,16,9,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,26,0,1,4,204,1,0,0,2,1
"13767.58cfa834e4b0c9d6adf6e5c8",0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72bec",0,0,1240,0,8,0,0,39,15,2,0,0,0,2,0,0,8,6,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,23,0,1,2,491,0,0,0,1,0
"13767.58cfa83be4b0c9d6adf72a5a",0,0,68,0,16,0,3,35,16,3,0,0,0,12,2,3,18,5,1,0,4,0,0,0,1,1,0,0,1,1,0,0,1,85,1,2,4,23,3,1,0,1,5
"13767.58cfa834e4b0c9d6adf6e601",0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72a2d",1,0,9744,0,2,1,3,103,30,0,0,0,0,29,2,3,201,18,1,0,16,1,0,0,2,1,1,1,1,2,0,0,0,89,1,1,4,2830,3,2,0,6,1
"13767.58cfa83be4b0c9d6adf725b8",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72cae",9,0,3742,0,31,4,33,428,244,36,3,1,4,243,9,31,125,81,3,2,94,0,2,4,8,9,3,4,3,30,0,1,5,62,9,10,71,1653,15,5,3,42,42
"13767.58cfa83be4b0c9d6adf72a60",2,1,8667,0,96,1,9,219,77,15,3,3,3,55,6,13,593,5,1,1,14,1,3,0,3,4,2,1,2,3,0,0,7,423,7,1,19,4813,12,7,0,2,1
"13767.58cfa834e4b0c9d6adf6e67c",0,0,0,0,0,0,0,19,4,0,0,0,0,3,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72c20",3,0,1451,0,32,0,10,66,47,6,1,1,0,38,3,9,8792,3,0,1,9,1,1,0,3,2,0,1,1,4,0,0,1,116,30,2,27,467,4,2,0,2,1
"13767.58cfa83ce4b0c9d6adf72afd",2,0,11481,0,13,0,0,31,13,0,1,0,0,14,1,4,19,4,0,1,8,0,0,0,1,1,0,0,0,0,0,0,0,115,7,1,3,4263,2,0,0,1,1
"13767.58cfa83ce4b0c9d6adf72bee",0,3,3661,0,1090,1,39,229,173,47,11,5,5,68,6,35,6225,1,3,3,23,1,6,0,5,7,1,1,2,3,0,0,1,52,5,2,36,1712,7,5,0,3,5
"13767.58cfa83ce4b0c9d6adf72b44",1,0,4713,0,9,1,3,65,25,2,0,0,0,19,0,9,36,9,1,1,20,17,1,0,0,0,0,0,0,2,0,0,0,32,1,1,1,2549,2,0,0,2,0
"13767.58cfa83be4b0c9d6adf727c6",7,1,5259,0,93,2,25,205,100,30,3,2,7,144,11,41,86198,8,2,2,30,2,7,0,10,8,2,3,2,5,0,0,9,284,68,10,53,2882,28,11,3,7,3
"13767.58cfa83ce4b0c9d6adf72d5c",0,0,761,0,49,0,6,75,39,11,1,8,10,69,4,11,45,5,1,0,7,1,1,0,135,75,121,61,41,196,0,0,21,54,22,6,109,376,13,14,2,5,12
