"","Exophiala","Wickerhamomyces","Phialocephala","Rhinocladiella","Rhizopus","Diutina","Pyrenophora","Coprinopsis","Yamadazyma","Malassezia","Sporisorium","Puccinia","Cutaneotrichosporon","Stereum","Trametes","Pneumocystis","Aureobasidium","Dissoconium","Debaryomyces","Cyphellophora","Candida","Pseudozyma","Colletotrichum","Hyphopichia","Cyberlindnera","Torulaspora","Aspergillus","Saccharomyces","Trichosporon","Alternaria","Moesziomyces","Ramularia","Talaromyces","Paraphaeosphaeria","Cryptococcus","Agaricus","Schizophyllum","Rhodotorula","Postia","Purpureocillium","Penicillium","Yarrowia","Trichoderma","Tilletiopsis","Byssochlamys","Cercospora","Fusarium","Phialophora","Meyerozyma","Phanerochaete","Beauveria","Parastagonospora","Gloeophyllum","Ustilago","diversity"
"F0131",0,0,0,0,0,0,0,0,0,0.0988987444830098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90110125551699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0132",0,0,0,0,0,0,0,0,0,0.866419466975666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133580533024334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0133",0,0,0,0,0,0,0,0,0,0.796818168376852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203181831623148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0134",0,0,0,0,0,0,0,0,0,0.932989085788053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067010914211947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0135",0,0,0,0,0,0,0,0,0,0.527110727521958,0,0,0,0,0,0,0.177235111945982,0,0,0,0,0,0,0,0.272046504543839,0,0.0236076559882216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0136",0,0,0,0,0,0,0,0,0,0.648576841830179,0,0,0,0,0,0,0,0,0.217143230471047,0,0,0,0,0,0,0,0.0706679152420567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636120124567173,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188363910530284,0,0,0,0,0,0,0,0.811636089469716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586819306930693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413180693069307,0,0,0,0,0,0,0,2
"F0140",0,0,0,0.0948660714285714,0,0,0,0,0,0.399210164835165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505923763736264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
