"","Helotiaceae","Herpotrichiellaceae","Rhizopodaceae","Tricholomataceae","Malasseziaceae","Leptosphaeriaceae","Pucciniaceae","Stereaceae","Tremellaceae","Verrucariaceae","Sporidiobolaceae","Pneumocystidaceae","Dissoconiaceae","Debaryomycetaceae","Cyphellophoraceae","Ustilaginaceae","Glomerellaceae","Phaffomycetaceae","Aspergillaceae","Saccharomycetaceae","Trichosporonaceae","Pleosporaceae","Sporormiaceae","Trichocomaceae","Microascaceae","Mycosphaerellaceae","Didymosphaeriaceae","Hyaloscyphaceae","Dermateaceae","Psathyrellaceae","Pichiaceae","Schizophyllaceae","Ophiocordycipitaceae","Dipodascaceae","Sclerotiniaceae","Plectosphaerellaceae","Didymellaceae","Hypocreaceae","Phaeosphaeriaceae","Thermoascaceae","Clavicipitaceae","Teratosphaeriaceae","Botryosphaeriaceae","Sporocadaceae","Nectriaceae","Phanerochaetaceae","Cordycipitaceae","Trichomonascaceae","Sordariaceae","Polyporaceae","Gloeophyllaceae","Agaricaceae","diversity"
"F0129",0,0,0,0,0.136025192815778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863974807184222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0131",0,0,0,0,0.0988987444830098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90110125551699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0132",0,0,0,0,0.664073324096771,0,0,0,0,0,0.233542932253366,0,0,0,0,0,0,0,0.102383743649863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0133",0,0,0,0,0.796818168376852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203181831623148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0134",0,0,0,0,0.770622637241914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553491227503312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174028240007755,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0135",0,0,0,0,0.64065778106874,0,0,0,0,0,0,0,0,0,0,0,0,0.330649142292978,0.0286930766382821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0136",0,0,0,0,0.41074088376455,0,0,0,0,0,0,0,0,0.137515860318861,0,0,0,0,0.0850388922601644,0,0,0.332542615987201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341617476692227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"F0138",0,0,0,0,0,0,0,0,0,0,0,0,0,0.188363910530284,0,0,0,0,0.811636089469716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0139",0,0,0,0,0,0,0,0,0,0,0.222179437812861,0,0,0,0,0,0,0,0.456440123219099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32138043896804,0,0,0,0,0,0,0,3
"F0140",0,0.0948660714285714,0,0,0.399210164835165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505923763736264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0141",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122769296925392,0,0,0,0,0,0,0,0,0,0,0,0,0.225865405289185,0,0.651365297785423,0,0,0,3
"F0145",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0146",0,0,0,0,0.558416584587965,0,0,0,0,0,0,0,0,0,0,0.199756109000516,0,0,0.241827306411519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0147",0,0,0,0,0.0682860075265139,0,0,0,0,0,0,0,0,0.140472117687308,0,0,0,0,0.791241874786179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0148",0,0,0,0,0.630559540889527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369440459110473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559318282425852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440681717574148,0,0,0,0,0,0,0,0,0,2
"F0153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0155",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0157",0,0,0,0,0.887809564474808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112190435525192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0159",0,0,0,0,0,0,0,0,0,0,0,0,0,0.291436995257018,0,0,0,0.206640174336624,0,0.147160620433278,0,0.35476220997308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0161",0,0,0,0,0.541152642238998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458847357761002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0163",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
