"","Chaetothyriales","Malasseziales","Pucciniales","Helotiales","Verrucariales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Dothideales","Ustilaginales","Xylariales","Eurotiales","Trichosporonales","Mucorales","Microascales","Saccharomycetales","Glomerellales","Georgefischeriales","Pleosporales","Entylomatales","Pezizales","Botryosphaeriales","Sordariales","Hypocreales","Tremellales","Polyporales","Gloeophyllales","Russulales","Agaricales","diversity"
"F0429",0,0,0,0,0,0,0,0,0,0.529831425119383,0,0,0,0,0,0,0,0.470168574880617,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0430",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0435",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213233436339961,0,0,0,0,0.786766563660039,0,0,0,0,0,2
"F0436",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0438",0,0.616345995724387,0,0,0,0,0,0,0,0.0632671061876785,0,0.0561959007938288,0,0,0,0,0,0.264190997294105,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0441",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591362557243491,0,0,0,0,0,0,0,0.408637442756509,0,0,0,0,0,2
"F0443",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0446",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0449",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0454",0,0.19640502768744,0,0,0,0,0,0,0,0,0,0.063856904280566,0.365869737189066,0,0,0,0,0,0,0,0.373868330842929,0,0,0,0,0,0,0,0,0,0,4
"F0458",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0527",0,0.389691470054446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610308529945554,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0528",0,0.84445564516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15554435483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0529",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0530",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0531",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0532",0.128028864413217,0.149943030763388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722028104823395,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0534",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0535",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0538",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0545",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0546",0,0.448425987943737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30020093770931,0,0,0,0,0,0,0.251373074346952,0,0,0,3
"F0549",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0550",0,0.130506225115338,0,0,0,0,0,0.186816659293434,0,0,0,0,0,0,0,0,0,0.21193831763888,0,0,0.470738797952348,0,0,0,0,0,0,0,0,0,0,4
