"","Chaetothyriales","Malasseziales","Pucciniales","Helotiales","Verrucariales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Dothideales","Ustilaginales","Xylariales","Eurotiales","Trichosporonales","Mucorales","Microascales","Saccharomycetales","Glomerellales","Georgefischeriales","Pleosporales","Entylomatales","Pezizales","Botryosphaeriales","Sordariales","Hypocreales","Tremellales","Polyporales","Gloeophyllales","Russulales","Agaricales","diversity"
"F0147",0,0.0518011003840963,0,0,0,0,0,0,0,0,0.241409737361154,0,0,0.6002283816049,0,0,0,0.106560780649849,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0148",0,0.630559540889527,0,0,0,0,0,0,0,0,0,0,0,0.369440459110473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422179261862917,0,0,0,0,0,0.139964850615114,0,0,0.333602811950791,0,0,0,0.104253075571178,4
"F0153",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0154",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0157",0,0.887809564474808,0,0,0,0,0,0,0,0,0,0,0,0.112190435525192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0159",0,0,0,0,0,0,0,0,0,0,0.141082375867809,0,0,0,0,0,0,0.408712597945678,0,0,0.224716820267143,0,0,0,0,0,0.22548820591937,0,0,0,0,4
"F0161",0,0.0742246691585009,0,0,0,0,0,0,0,0,0,0,0,0.0629356500656632,0,0,0,0,0,0,0.862839680775836,0,0,0,0,0,0,0,0,0,0,3
"F0162",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0166",0,0.112433283751859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887566716248141,0,0,0,0,2
"F0167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180211661341853,0,0,0.819788338658147,0,0,0,0,0,0,0,0,0,0,2
"F0168",0,0,0,0,0,0,0,0,0,0,0,0,0,0.207577204711875,0,0,0,0,0,0,0,0,0,0,0,0,0.792422795288125,0,0,0,0,2
"F0169",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0170",0,0.245048118539641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75495188146036,0,0,0,0,0,0,0,0,0,0,2
"F0177",0,0.158146874823874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706757594544327,0,0,0,0,0,0,0,0,0.771177365721693,0,0,0,0,3
"F0178",0,0.111864912215305,0,0,0,0,0,0.047359003988519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539941104111529,0,0.786781973385023,0,0,0,0,4
"F0179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291025806729568,0,0,0,0,0,0.708974193270432,0,0,0,0,2
"F0182",0,0,0,0,0,0,0,0,0,0,0,0.442338802865727,0,0,0,0,0,0.305407903859487,0,0,0,0,0,0,0,0,0,0.252253293274786,0,0,0,3
"F0183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66615275142315,0,0,0,0,0,0,0,0,0.33384724857685,0,0,0,0,2
"F0184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"F0185",0,0.513669064748201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144172661870504,0,0,0.159520383693046,0,0,0,0,0,0.182637889688249,0,0,0,0,4
"F0186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"F0316",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0320",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0321",0,0.681057268722467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318942731277533,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0323",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0324",0,0.783862358211801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216137641788199,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
