"","Mucoromycota","Basidiomycota","other","Ascomycota","diversity"
"F0740",0,1,0,0,1
"F0741",0,0,0,1,1
"F0755",0,1,0,0,1
"F0602",0,1,0,1,2
"F0605",0,1,0,1,2
"F0607",0,1,0,1,2
"F0608",0,1,0,1,2
"F0609",0,1,0,1,2
"F0574",0,1,0,1,2
"F0612",0,1,0,1,2
"F0613",0,1,0,1,2
"F0616",0,1,0,1,2
"F0575",0,1,0,1,2
"F0623",0,1,0,1,2
"F0624",0,0,1,1,2
"F0625",0,1,0,0,1
"F0629",0,0,0,1,1
"F0576",0,1,0,1,2
"F0630",0,1,1,1,3
"F0634",0,1,0,1,2
"F0637",0,1,0,1,2
"F0641",0,0,0,1,1
"F0643",0,1,0,1,2
"F0644",0,1,0,1,2
"F0646",0,1,0,1,2
"F0648",0,1,0,1,2
"F0651",0,0,0,1,1
"F0653",0,1,0,0,1
"F0656",0,1,0,0,1
"F0658",0,1,0,1,2
"F0660",0,1,0,1,2
"F0661",0,1,0,1,2
"F0666",0,1,0,1,2
"F0868",0,1,0,1,2
"F0871",0,1,0,1,2
"F0875",0,1,0,1,2
"F0877",0,1,0,1,2
"F0860",0,1,0,1,2
"F0878",0,1,0,1,2
"F0880",0,1,1,1,3
"F0883",0,1,0,1,2
"F0885",0,1,0,1,2
"F0887",0,1,0,1,2
"F0901",0,0,0,1,1
"F0902",0,1,0,0,1
"F0903",0,1,0,0,1
"F0904",0,0,0,1,1
"F0907",0,1,0,0,1
"F0863",0,1,0,1,2
"F0909",0,0,0,1,1
"F0922",0,1,0,1,2
"F0923",0,1,0,0,1
"F0928",0,1,0,1,2
"F0930",0,0,0,1,1
"F0931",0,0,0,1,1
"F0866",0,1,0,1,2
"F0944",0,1,0,1,2
"F0945",0,0,0,1,1
"F0946",0,1,0,1,2
"F0947",0,1,0,0,1
"F0948",0,0,0,1,1
"F0950",0,0,0,1,1
"F0951",0,1,0,1,2
"F0952",0,1,0,1,2
"F0953",0,0,0,1,1
"F1150",0,1,0,0,1
"F1151",0,1,0,0,1
"F1152",0,1,0,1,2
"F1153",0,0,0,1,1
"F1156",0,0,0,1,1
"F1157",0,0,0,1,1
"F1158",0,1,0,1,2
"F1159",0,1,0,0,1
"F1162",0,1,0,0,1
"F1164",0,0,0,1,1
"F1165",0,1,0,1,2
"F1166",0,1,0,0,1
"F1167",0,0,0,1,1
"F1168",0,0,0,1,1
"F1169",0,1,0,0,1
"F1170",0,1,0,1,2
"F1173",0,1,0,0,1
"F1182",0,0,0,1,1
"F1186",0,1,0,1,2
"F1193",0,1,0,0,1
"F1218",0,1,0,1,2
"F1219",0,1,0,1,2
"F1222",0,1,0,0,1
"F1223",0,0,0,1,1
"F1224",0,1,0,0,1
"F1229",0,1,0,0,1
"F1230",0,1,0,0,1
"F1232",0,0,0,1,1
"F1235",0,0,0,1,1
"F1238",0,1,0,0,1
"F1239",0,0,0,1,1
"F1051",0,1,1,0,2
"F1052",0,1,0,1,2
"F1053",0,1,0,0,1
"F1054",0,0,0,1,1
"F1058",0,1,0,1,2
"F1061",0,0,0,1,1
"F1063",0,1,0,1,2
"F1064",0,1,0,1,2
"F1065",0,1,0,1,2
"F1066",0,0,0,1,1
"F1070",0,0,0,1,1
"F1074",0,0,0,1,1
"F1076",0,1,0,1,2
"F1077",0,0,0,1,1
"F1078",0,1,0,1,2
"F1079",0,1,0,1,2
"F1081",0,0,0,1,1
"F1082",0,1,0,1,2
"F1083",0,0,0,1,1
"F1092",0,0,0,1,1
"F1094",0,1,0,0,1
"F1120",0,1,0,1,2
"F1123",0,1,0,0,1
"F1129",0,1,0,1,2
"F1137",0,0,0,1,1
"F1138",0,1,0,1,2
"F1145",0,1,0,0,1
"F1147",0,1,0,0,1
"F1149",0,1,0,0,1
"F1551",0,0,0,1,1
"F1553",0,1,0,1,2
"F1555",0,1,0,1,2
"F1557",0,1,0,1,2
"F1558",0,0,0,1,1
"F1561",0,1,1,1,3
"F1563",0,1,0,1,2
"F1565",0,1,0,1,2
"F1573",0,1,0,1,2
"F1575",0,1,0,1,2
"F1577",0,0,0,1,1
"F1579",0,1,0,1,2
"F1581",0,1,0,1,2
"F1583",0,1,0,1,2
"F1586",0,1,0,1,2
"F1588",0,1,0,1,2
"F1605",0,1,1,1,3
"F1608",0,1,0,1,2
"F1609",0,1,0,1,2
"F1613",0,1,0,1,2
"F1615",0,0,0,1,1
"F1616",0,1,0,1,2
"F1618",0,1,0,1,2
"F1622",0,1,0,1,2
"F1624",0,1,0,1,2
"F1625",0,0,0,1,1
"F1252",0,1,0,1,2
"F1353",0,0,0,1,1
"F1355",0,0,0,1,1
"F1371",0,0,0,1,1
"F1256",0,1,0,0,1
"F1383",0,1,0,1,2
"F1387",0,1,0,1,2
"F1393",0,1,0,0,1
"F1397",0,0,0,1,1
"F1414",0,1,0,1,2
"F1427",0,0,0,1,1
"F1261",0,1,0,1,2
"F1437",0,0,0,1,1
"F1441",0,1,0,0,1
"F1262",0,0,0,1,1
"F1442",0,0,0,1,1
"F1443",0,0,0,1,1
"F1479",0,0,0,1,1
"F1483",0,0,0,1,1
"F1494",0,0,0,1,1
"F1495",0,0,0,1,1
"F1527",0,1,0,1,2
"F1271",0,0,0,1,1
"F1273",0,1,0,0,1
"F1274",0,1,0,1,2
"F1275",0,0,0,1,1
"F1276",0,1,0,0,1
"F1277",0,0,1,1,2
"F1279",0,1,0,0,1
"F1280",0,1,0,1,2
"F1281",0,0,0,1,1
"F1246",0,0,0,1,1
"F1282",0,1,0,0,1
"F1283",0,1,0,1,2
"F1285",0,1,0,1,2
"F1288",0,0,0,1,1
"F1289",0,1,0,0,1
"F1292",0,0,0,1,1
"F1306",0,1,0,1,2
"F1312",0,1,0,1,2
"F1314",0,1,0,1,2
"F1316",0,0,0,1,1
"F1319",0,0,0,1,1
"F1321",0,1,0,0,1
"F1327",0,1,0,0,1
"F1251",0,1,0,1,2
"F1338",0,1,0,0,1
"F1915",0,0,0,1,1
"F1924",0,1,0,1,2
"F1925",0,1,0,1,2
"F1926",0,0,0,1,1
"F1929",0,1,0,1,2
"F1930",0,1,0,1,2
"F1931",0,1,0,1,2
"F1933",0,1,0,1,2
"F1916",0,1,0,1,2
"F1935",0,1,0,1,2
"F1936",0,0,0,1,1
"F1917",0,1,1,1,3
"F1958",0,0,0,1,1
"F1959",0,1,0,1,2
"F1960",0,1,0,1,2
"F1961",0,1,0,1,2
"F1962",0,1,0,1,2
"F1963",0,1,0,1,2
"F1964",0,0,0,1,1
"F1965",0,0,0,1,1
"F1967",0,1,0,1,2
"F1968",0,1,0,1,2
"F1969",0,0,0,1,1
"F1970",0,1,0,0,1
"F1971",0,1,0,1,2
"F1973",0,1,0,1,2
"F1920",0,1,0,1,2
"F1974",0,1,0,1,2
"F1975",0,1,0,1,2
"F1976",0,1,0,0,1
"F1977",0,1,0,1,2
"F1979",0,0,0,1,1
"F1981",0,1,0,0,1
"F1982",0,0,0,1,1
"F1921",0,1,1,1,3
"F1984",0,1,0,0,1
"F1985",0,1,1,0,2
"F1986",0,1,0,0,1
"F1987",0,0,0,1,1
"F1990",0,0,0,1,1
"F1991",0,1,0,1,2
"F1992",0,1,0,1,2
"F1994",0,0,0,1,1
"F1995",0,0,0,1,1
"F1996",0,1,0,1,2
"F1997",0,1,1,1,3
"F1998",0,1,1,0,2
"F1999",0,0,0,1,1
"F2001",0,1,0,1,2
"F2002",0,0,0,1,1
"F2003",0,1,0,0,1
"F2004",0,1,0,1,2
"F2005",0,1,0,1,2
"F2006",0,0,0,1,1
"F2007",0,0,0,1,1
"F2009",0,1,0,1,2
"F1727",0,1,0,1,2
"F1730",0,1,0,0,1
"F1735",0,0,0,1,1
"F1638",0,1,0,1,2
"F1749",0,1,0,1,2
"F1750",0,1,0,1,2
"F1751",0,1,1,1,3
"F1754",0,1,0,1,2
"F1755",0,1,0,1,2
"F1756",0,1,0,1,2
"F1757",0,1,0,1,2
"F1758",0,1,0,1,2
"F1759",0,0,0,1,1
"F1760",0,1,0,1,2
"F1761",0,1,0,1,2
"F1762",0,1,0,1,2
"F1764",0,1,0,1,2
"F1765",0,1,0,1,2
"F1640",0,1,0,1,2
"F1766",0,1,0,1,2
"F1767",0,0,0,1,1
"F1769",0,1,0,1,2
"F1770",0,1,0,1,2
"F1771",0,1,0,1,2
"F1772",0,1,0,1,2
"F1774",0,1,0,1,2
"F1775",0,1,0,1,2
"F1641",0,1,0,1,2
"F1776",0,1,1,1,3
"F1778",0,1,0,1,2
"F1779",0,0,0,1,1
"F1780",0,1,0,1,2
"F1781",0,1,0,1,2
"F1642",0,1,0,1,2
"F1810",0,1,0,0,1
"F1811",0,0,0,1,1
"F1812",0,1,0,0,1
"F1813",0,0,0,1,1
"F1815",0,0,0,1,1
"F1816",0,1,0,0,1
"F1817",0,1,0,1,2
"F1818",0,1,0,0,1
"F1819",0,1,1,1,3
"F1820",0,0,0,1,1
"F1821",0,0,0,1,1
"F1822",0,1,0,1,2
"F1824",0,0,0,1,1
"F1628",0,1,0,1,2
"F1646",0,1,0,1,2
"F1826",0,1,0,0,1
"F1827",0,1,0,0,1
"F1829",0,1,0,0,1
"F1830",0,1,0,1,2
"F1647",0,1,0,1,2
"F1848",0,1,0,1,2
"F1858",0,1,0,1,2
"F1861",0,1,0,1,2
"F1863",0,1,0,1,2
"F1868",0,1,0,0,1
"F1871",0,1,0,1,2
"F1872",0,1,0,0,1
"F1873",0,1,0,1,2
"F1874",0,1,1,1,3
"F1900",0,1,0,1,2
"F1901",0,1,0,1,2
"F1903",0,1,0,0,1
"F1904",0,1,0,1,2
"F1905",0,1,0,1,2
"F1654",0,1,0,1,2
"F1906",0,0,0,1,1
"F1908",0,0,0,1,1
"F1909",0,1,0,1,2
"F1910",0,1,0,0,1
"F1911",0,0,0,1,1
"F1914",0,0,0,1,1
"F1630",0,1,0,1,2
"F1631",0,1,0,0,1
"F1683",0,1,0,0,1
"F1684",0,1,0,1,2
"F1632",0,1,0,1,2
"F1687",0,1,0,0,1
"F1689",0,1,0,0,1
"F1690",0,0,0,1,1
"F1691",0,1,0,1,2
"F1692",0,1,0,0,1
"F1695",0,1,0,0,1
"F1696",0,0,0,1,1
"F1697",0,1,0,0,1
"F1699",0,1,0,1,2
"F1702",0,1,0,0,1
"F1703",0,0,0,1,1
"F1704",0,0,0,1,1
"F1705",0,1,0,1,2
"F1708",0,0,0,1,1
"F1709",0,0,0,1,1
"F1710",0,1,0,1,2
"F1711",0,1,0,0,1
"F1713",0,0,0,1,1
"F1714",0,1,0,1,2
"F1715",0,0,0,1,1
"F1716",0,1,0,1,2
"F1717",0,0,0,1,1
"F1719",0,1,0,1,2
"F1720",0,1,0,1,2
"F1721",0,1,0,1,2
"F1722",0,1,0,1,2
"F1724",0,0,0,1,1
