"","Tritirachiomycetes","Cystobasidiomycetes","other","Malasseziomycetes","Pucciniomycetes","other","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","other","Lecanoromycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Arthoniomycetes","Exobasidiomycetes","Agaricostilbomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11402,0,0,0,0,0,23813,2
"F0071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9886,0,0,0,0,0,0,0,1
"F0072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189660,0,0,0,0,0,0,0,1
"F0074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2684,0,0,0,0,0,0,0,1
"F0008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17986,1602,0,0,0,0,0,24144,3
"F0076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64120,0,0,0,0,0,0,1
"F0078",0,0,0,5742,0,0,0,0,0,0,0,0,0,0,0,126254,0,0,0,0,0,0,0,2
"F0109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5960,0,0,0,0,0,19685,2
"F0110",0,0,0,0,0,0,0,0,0,0,14901,0,0,0,0,0,0,0,0,0,0,0,8455,2
"F0114",0,0,0,0,0,0,0,0,0,0,10248,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0118",0,0,0,9764,0,0,0,0,0,0,1278,0,12385,0,0,6138,0,0,0,0,0,0,10098,5
"F0123",0,0,0,0,0,0,0,9790,0,0,6902,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0125",0,0,0,21123,0,0,0,0,0,0,6595,0,0,0,0,0,2710,0,0,0,0,0,7586,4
"F0127",0,0,0,10685,0,0,0,8068,0,0,1375,0,0,0,0,114712,0,0,0,0,0,0,0,4
"F0129",0,0,0,5097,0,0,0,0,0,0,32374,0,0,0,0,0,0,0,0,0,0,0,0,2
