"","Tritirachiomycetes","Cystobasidiomycetes","other","Malasseziomycetes","Pucciniomycetes","other","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","other","Lecanoromycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Arthoniomycetes","Exobasidiomycetes","Agaricostilbomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0123",0,0,0,0,0,0,0,0.586508507069255,0,0,0.413491492930745,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0125",0,0,0,0.55566370284632,0,0,0,0,0,0,0.173488714684064,0,0,0,0,0,0.0712895249118746,0,0,0,0,0,0.199558057557742,4
"F0127",0,0,0,0.0792420646692376,0,0,0,0.0598338771877781,0,0,0.0101972708395135,0,0,0,0,0.850726787303471,0,0,0,0,0,0,0,4
"F0129",0,0,0,0.136025192815778,0,0,0,0,0,0,0.863974807184222,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0132",0,0,0,0.664073324096771,0,0,0,0.233542932253366,0,0,0.102383743649863,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0134",0,0,0,0.725056241259804,0,0,0,0,0,0,0.0520763665106098,0,0,0,0,0,0,0,0,0,0,0,0.222867392229586,3
"F0136",0,0,0,0.354995589672682,0,0,0,0,0,0,0.0734975087610556,0,0,0,0,0.118852361313086,0.0295253534221756,0,0,0,0,0,0.423129186831001,5
"F0138",0,0,0,0,0,0,0,0,0,0,0.724987021733335,0,0,0,0,0.168254458209981,0,0,0,0,0,0,0.106758520056683,3
"F0140",0,0,0,0.399210164835165,0,0,0,0,0,0,0.0948660714285714,0,0,0,0,0.505923763736264,0,0,0,0,0,0,0,3
"F0142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122769296925392,0.877230703074608,0,0,0,0,0,0,2
"F0146",0,0,0,0.45100193189136,0,0,0,0,0,0.161331868631388,0.195310428425319,0,0,0,0,0,0.192355771051934,0,0,0,0,0,0,4
"F0148",0,0,0,0.630559540889527,0,0,0,0,0,0,0.369440459110473,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0151",0,0,0,0,0,0,0,0,0,0,0,0,0.115642362803392,0,0,0.146347109854762,0,0,0,0,0,0.0361389999025246,0.701871527439322,4
"F0153",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0157",0,0,0,0.431670732340271,0,0,0,0,0,0,0.0545492292520891,0,0,0,0,0,0,0,0,0,0,0,0.51378003840764,3
"F0163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0166",0,0,0,0.112433283751859,0,0,0,0,0,0,0,0,0.887566716248141,0,0,0,0,0,0,0,0,0,0,2
"F0168",0,0,0,0,0,0,0,0,0,0,0.207577204711875,0,0.792422795288125,0,0,0,0,0,0,0,0,0,0,2
"F0169",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0177",0,0,0,0.0996732026143791,0,0,0,0,0,0,0,0,0.685279909065075,0,0,0.0445439045183291,0,0,0,0,0,0,0.170502983802217,4
"F0179",0,0,0,0,0,0,0,0,0,0,0,0,0.708974193270432,0,0,0,0,0,0,0,0,0,0.291025806729568,2
"F0182",0,0,0,0,0,0,0,0,0,0.442338802865727,0,0,0,0,0,0.305407903859487,0,0,0,0,0,0.252253293274786,0,3
"F0184",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0186",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0291",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0299",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0300",0,0,0,0,0,0,0,0,0,0,0.344668760281143,0,0,0,0,0,0,0,0,0,0,0,0.655331239718858,2
"F0302",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0317",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"F0318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0323",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
