"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0340",0,0,0,0,0,0,0,0,0,65316,0,0,0,0,0,1
"F0341",0,0,0,0,0,0,0,0,0,2193190,0,0,0,0,0,1
"F0344",0,0,0,0,0,0,0,0,0,2141130,0,0,0,0,52000,2
"F0345",0,0,0,0,0,0,0,0,0,477125,0,0,0,0,0,1
"F0346",0,0,0,0,0,0,0,0,0,4340,0,0,0,0,0,1
"F0351",10200,0,0,0,0,0,0,0,0,436385,0,0,0,0,0,2
"F0353",0,0,0,0,0,0,0,0,0,32795,0,0,0,0,0,1
"F0356",0,0,0,37010,0,0,0,0,0,2215410,0,0,0,0,0,2
"F0368",35625,0,0,0,0,44245,0,0,0,226345,0,0,0,0,123545,4
"F0369",1456,0,0,0,0,0,0,0,0,0,0,0,0,0,50753,2
"F0374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2448920,1
"F0376",0,0,0,0,0,0,0,0,0,134280,0,0,0,0,0,1
"F0388",0,0,0,0,0,0,616690,0,0,0,83800,0,0,0,158760,3
"F0391",0,0,0,0,0,0,4431,0,0,0,0,0,0,0,17656,2
"F0396",0,0,0,0,0,0,0,0,0,1590,0,0,0,0,6682,2
"F0397",18634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0398",1912,0,0,0,0,0,4590,0,0,28513,0,0,0,0,0,3
"F0405",35166,0,0,0,0,0,5616,0,0,0,0,0,0,0,0,2
"F0411",48138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0414",18118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0415",8518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0416",29600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0419",13615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0420",22387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0422",49200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0424",6884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0430",26749,0,0,0,0,0,0,0,0,0,0,0,0,0,10288,2
"F0432",0,0,0,0,0,0,0,0,0,12564,0,0,0,0,0,1
"F0435",0,0,0,0,0,0,0,0,0,0,404815,0,0,0,109715,2
"F0439",0,0,0,0,0,0,0,0,0,35921,0,0,0,0,16511,2
"F0444",0,0,0,0,0,0,0,0,13144,0,0,0,0,0,0,1
"F0212",5348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0446",14803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0458",0,0,0,3959,0,0,0,0,0,0,0,0,0,0,0,1
"F0216",3334,0,0,32869,0,0,2921,0,0,12205,10447,0,5173,12757,6789,8
"F0219",17705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0221",4465,0,0,8750,0,0,0,0,0,14875,0,0,10455,0,138950,5
"F0230",106115,0,0,180930,0,0,0,45050,39760,0,0,0,11750,24255,85240,7
"F0232",0,0,3391,0,0,0,0,0,10516,0,6951,0,8137,0,0,4
"F0235",4276,0,0,36833,0,0,0,0,18924,7270,0,0,0,0,46801,5
"F0236",30130,0,0,39260,0,0,0,0,0,0,0,0,0,0,220365,3
"F0238",11751,0,0,0,0,0,0,0,0,0,0,0,8487,4735,30715,4
"F0240",4140,0,0,7444,0,0,0,0,0,0,0,0,0,0,42440,3
"F0248",24320,0,0,26744,0,0,5713,0,0,15526,0,0,0,0,40355,5
"F0259",11566,0,0,0,0,0,0,0,0,0,10470,0,0,0,28965,3
"F0267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17566,1
"F0273",0,0,0,0,0,0,2606,0,0,0,0,0,0,0,0,1
"F0278",0,0,0,0,0,0,0,0,6578,0,0,0,0,0,4539,2
"F0489",21597,0,0,25929,0,0,12280,0,12896,0,0,0,2632,14960,0,6
"F0494",39871,0,0,0,0,0,18417,0,0,0,0,0,0,0,0,2
"F0496",1687,0,0,0,0,0,0,0,0,0,0,0,0,0,18508,2
"F0497",18999,0,0,21206,0,0,114600,0,0,0,0,0,0,14383,32734,5
"F0500",7127,0,0,1697,0,0,10548,0,0,6036,0,0,0,35335,13664,6
"F0501",0,0,0,0,0,0,3511,0,0,11133,0,0,0,0,0,2
"F0506",6562,0,0,0,0,0,0,0,0,0,0,0,0,21623,35045,3
"F0507",22073,0,0,0,0,0,10487,0,0,0,18668,0,0,0,0,3
"F0510",0,0,0,0,0,0,1619860,0,0,0,0,0,0,20660,0,2
"F0513",0,0,0,0,0,0,6308,0,0,0,0,0,0,0,12428,2
"F0478",10743,0,0,0,0,0,0,0,0,6126,0,0,0,0,0,2
"F0514",50449,0,15115,2645,0,0,10475,0,0,2172,0,0,0,0,0,5
"F0515",8074,0,0,24708,0,0,40665,0,0,0,0,0,0,0,0,3
"F0516",110030,0,0,0,0,0,16455,0,0,0,0,0,0,0,61495,3
"F0517",181860,0,0,23710,0,0,41490,0,0,0,0,0,0,0,0,3
"F0519",0,0,0,0,0,0,0,0,17889,0,0,0,0,0,0,1
"F0522",32880,0,0,0,0,0,32500,0,0,907120,0,0,0,0,0,3
"F0479",0,0,0,0,0,0,2191,0,43344,64640,62442,0,0,0,0,4
"F0525",38400,0,0,0,0,0,57005,0,0,5265,0,0,0,0,103675,4
"F0538",15261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0541",0,0,0,0,0,0,0,0,0,19138,0,0,0,0,24131,2
"F0545",3303,0,0,0,0,0,0,0,0,0,0,0,0,0,14586,2
"F0546",33475,0,0,0,0,0,0,0,0,0,0,0,0,18765,69020,3
"F0482",0,0,0,0,0,0,0,0,0,24096,0,0,0,0,0,1
"F0560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15673,1
"F0563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28161,1
"F0483",0,0,0,0,0,0,20531,0,36599,0,0,0,0,0,0,2
