"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa830e4b0c9d6adf6bcb7",0,6,0,0,0,0,7,0,12,0,0,0,5142,0,2,2,27,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bee0",15,14,0,0,1,0,11,0,17,0,0,0,8616,0,1,4,35,0,0,0,1
"13722.58cfa830e4b0c9d6adf6bf04",4,106,2,0,0,0,10,0,16,0,0,0,6902,0,0,3,32,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf0c",4,22,2,0,0,0,8,0,14,0,6,0,6324,0,4,1,31,0,0,0,1
"13722.58cfa830e4b0c9d6adf6c052",13,665,2,0,1,0,151171,0,15,0,1,0,10298,1,0,3,22,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c436",1,11,1,0,0,0,6,0,12,0,0,4,9865,0,0,1,25,4,0,0,0
"13722.58cfa831e4b0c9d6adf6c44c",0,6,0,0,0,0,8,0,9,0,0,0,2532,0,0,1,29,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c490",16,941,1,0,1,0,210605,0,6,0,1,0,3685,1,0,2,23,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c712",0,5,0,0,0,0,7,0,10,0,1,0,2123,0,0,1,29,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c78c",1,14,1,0,0,0,10,0,13,0,0,0,12051,0,0,1,32,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6ba26",9,482,0,0,1,0,103929,0,11,0,0,0,5234,1,0,0,28,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bb82",24,1170,3,0,1,0,256802,2,18,0,5,0,14499,2,2,5,31,0,0,1,1
"13722.58cfa830e4b0c9d6adf6c046",32,1586,2,1,2,0,344711,2,138,1,2,0,12258,2,2,2,30,0,0,2,0
"13722.58cfa831e4b0c9d6adf6c430",12,810,0,0,1,0,176797,0,8,0,0,0,4909,1,0,2,28,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c41a",2,11,2,0,0,0,37,0,28,0,1,1,14649,0,3,9,39,0,0,2,0
"13722.58cfa831e4b0c9d6adf6c78f",21,955,1,0,1,0,214791,0,10,0,1,0,6050,1,0,2,26,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c7c6",8,15,3,0,0,0,22,0,19,0,0,0,18071,0,5,7,40,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c433",0,41,2,0,0,0,12,0,18,0,0,2,10044,0,1,0,40,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6ba25",2,15,1,1,0,0,4,0,9,0,0,0,14677,0,0,3,18,0,0,0,0
"13722.58cfa830e4b0c9d6adf6be71",3,9,3,1,0,0,10,0,18,1,0,0,19907,0,4,8,19,2,0,1,0
"13722.58cfa830e4b0c9d6adf6bcb3",1,11,3,0,0,0,6,0,16,0,0,2,15276,0,2,2,17,0,0,1,1
"13722.58cfa830e4b0c9d6adf6bed5",1,16,0,0,0,0,5,0,6,0,0,0,4879,0,15,2,12,0,0,1,0
"13722.58cfa830e4b0c9d6adf6c2a2",8,7,0,0,0,0,3,0,5,0,0,0,5461,0,0,4,11,2,0,0,0
"13722.58cfa831e4b0c9d6adf6c418",0,4,0,0,0,0,3,0,6,0,0,0,10620,0,1,0,14,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c43a",2,5,0,0,0,0,8,0,2,0,0,19,9659,0,0,1,10,5,0,0,0
"13722.58cfa831e4b0c9d6adf6c45e",3,14,1,0,0,0,12,0,16,1,6,0,13000,2,2,3,16,0,0,1,0
"13722.58cfa831e4b0c9d6adf6c8a8",3,11,2,0,0,0,6,0,17,0,0,0,23775,0,3,4,17,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c8e1",4,2,0,0,0,0,5,0,6,0,0,9,3684,0,0,2,14,0,0,0,0
