"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa831e4b0c9d6adf6ca2b",2,15,0,0,1,0,18,0,12,0,0,0,18450,0,5,5,27,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c9f6",2,6,0,0,0,0,10,0,8,0,0,0,7252,0,0,0,26,0,0,1,0
"13722.58cfa831e4b0c9d6adf6ca23",3,20,4,0,0,0,30,0,28,1,2,0,12736,1,140,4,43,0,0,3,1
"13722.58cfa831e4b0c9d6adf6ca58",7,15,2,0,1,0,13,0,16,0,0,0,16196,0,4,2,38,2,0,0,1
"13722.58cfa831e4b0c9d6adf6ca17",3,8,0,0,0,0,3,0,7,0,0,0,1878,0,0,2,11,0,0,0,0
"13722.58cfa831e4b0c9d6adf6cc3c",2,4,0,0,0,0,6,0,9,0,0,2,5758,0,0,0,23,0,0,0,0
"13722.58cfa831e4b0c9d6adf6cbe9",5,14,0,0,0,0,10,0,16,0,0,0,11680,1,4,4,31,0,0,2,0
"13722.58cfa831e4b0c9d6adf6cc38",2,4,0,0,0,0,20,0,10,0,0,0,3839,0,0,0,29,0,0,0,0
"13722.58cfa831e4b0c9d6adf6cde4",8,7,0,0,0,0,7,0,9,0,0,0,3857,10,0,2,21,0,0,0,0
"13722.58cfa831e4b0c9d6adf6cb2c",0,5,0,0,0,0,9,0,12,0,0,0,5892,0,0,6,43,2,0,0,0
"13722.58cfa831e4b0c9d6adf6cc1c",4,5,0,0,0,0,9,0,13,0,0,0,5488,0,0,3,27,2,0,0,0
"13722.58cfa832e4b0c9d6adf6ce00",3,20,2,0,0,0,30,0,20,1,0,1,12717,0,1,2,33,0,0,0,1
"13722.58cfa832e4b0c9d6adf6ce3a",3,3,0,0,0,0,5,0,8,0,0,0,6987,0,0,0,14,0,0,0,0
"13722.58cfa832e4b0c9d6adf6ce68",2,5,0,0,0,0,8,0,11,0,0,0,7438,0,0,3,30,0,0,0,0
"13722.58cfa832e4b0c9d6adf6ce70",4,4,0,0,0,0,8,0,6,0,0,0,9442,0,0,3,19,0,0,0,0
"13722.58cfa832e4b0c9d6adf6ce7e",1,7,0,0,0,0,8,0,8,0,0,0,6480,0,0,2,27,0,0,1,0
"13722.58cfa832e4b0c9d6adf6ce6c",7,16,5,0,0,0,38,0,22,0,0,1,19515,1,3,4,41,0,0,1,0
"13722.58cfa832e4b0c9d6adf6ce87",1,3,0,0,0,0,9,0,9,0,0,0,3368,0,0,0,26,0,0,1,0
"13722.58cfa831e4b0c9d6adf6cc59",6,18,1,1,0,0,12,0,22,0,0,0,12200,0,2,2,36,0,0,0,1
