"","Aureobasidium","Eremomyces","Ramularia","Sphaerulina","Baudoinia","Bonordeniella","Macroventuria","Leptosphaeria","Parastagonospora","Alternaria","Bipolaris","Pyrenophora","Verruconis","Cyphellophora","Capronia","Cladophialophora","Exophiala","Fonsecaea","Rhinocladiella","Aspergillus","Penicillium","Byssochlamys","Rasamsonia","Talaromyces","Blastomyces","Histoplasma","Arthroderma","Microsporum","Nannizzia","Trichophyton","Uncinocarpus","Coccidioides","Paracoccidioides","Glarea","Phialocephala","Botrytis","Sclerotinia","Arthrobotrys","Saitoella","Pneumocystis","Ascoidea","Babjeviella","Candida","Debaryomyces","Hyphopichia","Lodderomyces","Meyerozyma","Scheffersomyces","Spathaspora","Suhomyces","Yamadazyma","Yarrowia","Clavispora","Metschnikowia","Diutina","Cyberlindnera","Komagataella","Wickerhamomyces","Ogataea","Pichia","Eremothecium","Kazachstania","Kluyveromyces","Lachancea","Nakaseomyces","Naumovozyma","Saccharomyces","Tetrapisispora","Torulaspora","Vanderwaltozyma","Sugiyamaella","Schizosaccharomyces","Colletotrichum","Verticillium","Metarhizium","Cordyceps","Trichoderma","Fusarium","Purpureocillium","Pyricularia","Scedosporium","Sporothrix","Chaetomium","Podospora","Thermothelomyces","Neurospora","Sordaria","Phaeoacremonium","Pestalotiopsis","Xylona","Agaricus","Coprinopsis","Schizophyllum","Coniophora","Serpula","Punctularia","Gloeophyllum","Trametes","Heterobasidion","Stereum","Tilletiopsis","Tilletiaria","Pseudomicrostroma","Malassezia","Rhodotorula","Puccinia","Cryptococcus","Kwoniella","Kockovaella","Tremella","Cutaneotrichosporon","Trichosporon","Anthracocystis","Kalmanozyma","Moesziomyces","Pseudozyma","Sporisorium","Ustilago","Wallemia","Vittaforma","Mitosporidium","Encephalitozoon","Rhizophagus","Phycomyces","Rhizopus"
"13722.58cfa830e4b0c9d6adf6bee0",0,0,0,1,0,0,0,1,0,10,3,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8616,0,1,3,0,1,0,0,0,0,0,35,0,0,0,0,0,0,0,0,1,0
"13722.58cfa830e4b0c9d6adf6bf04",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6902,0,0,3,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf0c",0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6324,0,4,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1,0
"13722.58cfa830e4b0c9d6adf6c052",0,0,0,0,1,0,0,2,10,0,0,0,0,0,0,0,1,0,0,4,0,0,0,659,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,26,66,0,17,6,7,7,1,1,3,34,0,2,1,0,25,12,6,22,121,164,127,104,319,149797,20,184,83,16,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10298,1,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0
"13722.58cfa831e4b0c9d6adf6c436",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9865,0,0,1,0,0,0,0,0,0,0,25,0,0,0,4,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c44c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2532,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c490",0,0,0,1,1,0,0,1,13,0,0,0,0,0,0,0,1,0,0,5,0,0,0,935,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,30,97,1,24,7,8,8,2,1,6,43,0,3,0,0,33,16,7,33,180,216,176,154,449,208679,31,254,122,25,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3685,1,0,2,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2123,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c78c",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12051,0,0,1,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,1,0,0
"13722.58cfa82fe4b0c9d6adf6ba26",0,0,0,0,1,0,0,0,6,2,0,0,0,0,0,0,1,0,0,4,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,49,0,12,4,6,4,1,1,4,20,0,2,2,0,22,8,4,17,88,113,89,79,222,102952,12,128,63,12,0,0,0,0,0,3,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5234,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
