"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa830e4b0c9d6adf6bfdf",4,0,0,0,0,0,1,0,0,0,0,0,5802,0,0,2,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf08",67,18,1,0,0,0,48,0,10,1,4,0,18283,0,0,25,0,0,0,4,0
"13722.58cfa830e4b0c9d6adf6bf54",18,31,0,0,0,0,11,0,6,0,2,1,36223,0,0,8,2,0,0,2,2
"13722.58cfa830e4b0c9d6adf6c319",1,1,1,0,0,0,1,0,1,0,0,0,7764,0,0,2,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c310",14,4,0,0,0,0,3,0,0,0,2,0,19370,0,0,7,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c338",10,3,0,0,0,0,4,0,1,0,0,0,24063,0,0,6,0,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c3b2",10,3,0,0,0,0,4,0,1,0,0,0,24063,0,0,6,0,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c49a",2,0,0,0,0,0,0,0,0,0,0,0,4039,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c59e",10,3,0,0,0,0,2,0,0,0,2,0,24499,0,0,8,0,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c5a0",10,3,0,0,0,0,2,0,0,0,2,0,24499,0,0,8,0,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c5ce",0,0,0,0,0,0,0,0,0,0,2,0,3710,0,0,1,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c5cc",0,2,1,0,0,0,2,0,1,0,0,0,1795,0,0,0,0,0,0,0,0
