"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa830e4b0c9d6adf6ba86",8,31,2,0,0,0,5,0,7,0,0,0,26253,0,1,4,0,0,0,1,2
"13722.58cfa830e4b0c9d6adf6ba81",343,635,4,0,1,0,10,0,108,8,7,51,3374,0,2,209,15,0,0,3,1
"13722.58cfa82fe4b0c9d6adf6b7fa",2453,9964,19,0,0,0,202,0,1679,375,100,1398,5404,1,1,2519,220,0,0,4,2
"13722.58cfa82ee4b0c9d6adf6ae64",104,9,0,0,0,0,0,0,1,0,1,0,27205,0,0,33,0,0,0,0,1
"13722.58cfa82ee4b0c9d6adf6af9e",1270,57,2,1,0,0,7,0,19,0,0,0,15237,0,1,391,0,0,0,1,2
"13722.58cfa82fe4b0c9d6adf6b687",74,21,0,0,0,0,3,0,6,0,0,0,19623,0,1,22,0,0,0,0,1
"13722.58cfa82ee4b0c9d6adf6ae54",32798,45,2,0,0,0,5,0,13,0,0,0,6759,0,0,8551,0,0,0,3,1
"13722.58cfa82ee4b0c9d6adf6b0a5",27150,39,2,0,0,0,9,0,12,0,0,1,7103,0,0,7484,2,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b7b8",7,106,1,0,0,0,10,0,28,0,0,1,15022,2,3,10,0,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b80c",44597,191,1,0,0,0,37,2,44,3,127,9,39271,0,2,13037,3,0,1,3,4
"13722.58cfa82fe4b0c9d6adf6b88f",178699,73,3,0,0,0,19,0,24,0,34,4,13740,0,0,66060,1,0,0,3,0
"13722.58cfa82fe4b0c9d6adf6b926",2,17,3,1,0,0,0,0,9,0,0,2,13422,0,48,2,1,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b9b1",534,11,0,0,0,0,5,0,4,0,0,0,11959,0,0,182,0,0,0,1,1
"13722.58cfa82fe4b0c9d6adf6b991",1490,334,0,0,0,0,8,0,41,8,1,23,11184,0,0,424,9,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6b00e",61922,101,7,1,0,0,58,0,44,0,188,3,18207,1,3,23088,4,0,0,4,2
"13722.58cfa82fe4b0c9d6adf6b5cc",10,69,0,2,0,0,9,0,18,0,1,2,4721,0,3,17,1,0,0,2,3
"13722.58cfa82fe4b0c9d6adf6b5fa",50,18,0,0,0,0,3,0,3,0,1,0,14376,0,0,23,2,0,0,2,2
"13722.58cfa82fe4b0c9d6adf6b7b4",9,9,0,0,0,0,7,0,3,0,0,0,22332,0,0,5,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b72a",4,14,0,0,0,0,3,0,3,0,0,0,10688,0,1,1,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b754",6253,11,0,0,0,0,5,0,2,0,0,0,9146,0,1,2712,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b7f6",16911,14,0,0,0,0,0,0,4,0,0,0,8539,0,0,6373,0,0,0,0,2
"13722.58cfa82fe4b0c9d6adf6b8bc",42417,16,1,0,0,0,2,0,7,0,0,1,4663,0,1,15280,2,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b714",35082,18,1,0,0,0,0,0,6,0,0,0,8830,0,0,12600,0,0,0,1,1
"13722.58cfa82ee4b0c9d6adf6b034",538,4,0,0,0,0,0,0,0,0,0,0,3996,0,0,199,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bb07",12709,7,1,0,0,0,7,0,3,0,1,0,10585,0,0,4712,0,0,0,2,0
"13722.58cfa82ee4b0c9d6adf6b001",503,9,0,0,0,0,6,0,1,0,0,0,7550,0,0,174,0,0,0,1,0
"13722.58cfa82ee4b0c9d6adf6b020",77,12,0,1,0,0,2,0,4,0,0,0,8322,0,0,22,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b676",47182,17,1,0,0,0,4,0,6,0,0,1,7109,0,0,17076,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b678",18924,22,0,0,0,0,2,0,7,0,0,0,3869,0,0,7162,0,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b68e",2013187,224,0,0,0,0,66,1,129,1,156,2,507,0,1,656514,1,0,0,6,1
"13722.58cfa82fe4b0c9d6adf6b6f6",179,9,0,0,0,0,3,0,1,0,0,0,9692,0,1,70,0,0,0,0,2
"13722.58cfa82fe4b0c9d6adf6b8cc",23528,10,0,0,0,0,0,0,5,0,0,0,9612,0,0,10193,0,0,0,0,2
"13722.58cfa82fe4b0c9d6adf6b900",25633,11,0,0,0,0,0,0,2,0,0,0,5849,0,0,10037,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b657",21,13,0,0,0,0,1,2,5,0,0,0,5274,0,1,12,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b664",728,7,1,0,0,0,2,0,4,0,0,0,5348,0,0,302,0,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b730",914,19,0,0,0,0,17,0,5,0,0,0,7981,0,0,258,0,0,0,1,1
"13722.58cfa82fe4b0c9d6adf6b70e",11927,25,0,0,0,0,4,0,7,0,2,0,8140,0,0,4236,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b806",4,17,1,0,0,0,6,0,6,0,0,0,14236,0,0,0,0,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b6b7",10,20,0,0,0,0,4,0,4,0,0,0,5816,0,0,8,0,0,0,1,1
"13722.58cfa82fe4b0c9d6adf6b808",4,81,2,0,0,0,7,0,31,0,0,0,15133,1,2,5,2,0,0,2,1
"13722.58cfa82fe4b0c9d6adf6b938",47,29,1,1,0,0,3,0,8,0,0,1,4924,0,0,24,1,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b8c4",22583,10,1,0,0,0,2,0,5,0,1,0,13228,0,0,7608,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b994",165,17,0,1,0,0,3,0,4,0,0,0,11992,0,0,60,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b700",29,16,1,0,0,0,6,0,3,0,0,0,9033,0,0,13,1,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b721",31993,14,0,0,0,0,2,0,0,0,0,0,12786,0,0,11375,0,0,0,1,0
"13722.58cfa82ee4b0c9d6adf6ae6a",66430,74,2,1,0,0,11,0,29,0,69,0,14234,0,5,26769,0,0,0,5,0
"13722.58cfa82ee4b0c9d6adf6ae50",79137,101,3,0,0,0,58,0,26,0,103,3,20727,0,0,29177,2,0,0,6,1
"13722.58cfa82ee4b0c9d6adf6b02c",103110,102,2,0,2,0,25,0,37,0,123,0,12507,0,0,41868,2,0,0,4,3
"13722.58cfa82fe4b0c9d6adf6b631",199,14,0,1,0,0,1,0,3,0,0,0,16490,0,0,63,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b64a",12764,20,0,0,0,0,6,0,4,0,3,0,11205,0,1,4371,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b659",76,13,0,1,0,0,3,0,2,0,0,0,10888,0,0,30,0,0,0,0,1
"13722.58cfa82fe4b0c9d6adf6b653",491,24,0,0,0,0,6,0,12,0,0,0,11700,0,0,177,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b66c",345,54,3,0,0,0,3,0,14,2,1,0,9632,0,0,123,2,0,0,3,0
"13722.58cfa82ee4b0c9d6adf6ae52",46923,66,3,0,0,0,16,0,13,0,43,4,10397,0,1,16791,0,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b6ba",50050,40,3,0,0,0,5,1,6,1,2,7,2244,0,0,16263,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b704",19781,15,1,1,0,0,0,1,2,0,0,0,16037,0,0,6517,1,0,0,0,2
"13722.58cfa82fe4b0c9d6adf6b6aa",449,19,0,0,0,0,5,0,3,0,0,0,9114,0,1,120,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b6de",177,30,0,0,1,0,10,0,7,0,0,1,12374,0,0,65,0,0,0,0,2
"13722.58cfa82fe4b0c9d6adf6b64b",619536,44,1,1,0,0,29,0,26,1,66,3,4345,0,1,302890,1,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b716",21915,13,1,0,0,0,1,0,2,0,0,0,21209,0,0,6801,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b790",241,23,0,0,0,0,2,0,9,0,0,0,26198,0,0,78,0,0,0,0,2
"13722.58cfa82fe4b0c9d6adf6b738",86836,30,0,0,0,0,14,0,11,0,15,1,6527,0,0,32812,0,0,0,1,2
"13722.58cfa82fe4b0c9d6adf6b7b6",9662,24,3,0,0,0,11,0,5,0,0,0,4261,0,0,3256,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b7d8",1230,12,0,0,0,0,1,0,1,0,0,0,14162,0,0,470,0,0,0,2,1
"13722.58cfa82fe4b0c9d6adf6b7c6",34518,12,0,0,0,0,4,0,8,0,0,0,10194,0,0,11718,0,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b8fe",5,21,0,0,0,0,6,0,4,0,0,0,13749,0,0,4,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b88d",7868,15,0,0,0,0,7,0,7,1,0,0,12405,0,0,2646,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b8b3",34934,47,1,0,0,0,3,0,17,0,5,1,3918,0,4,11793,1,0,1,3,0
"13722.58cfa82fe4b0c9d6adf6b903",2516,9,1,1,0,0,4,0,2,0,0,0,8872,0,0,751,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b90e",21081,19,0,0,0,0,2,0,5,0,0,2,7778,0,1,6749,0,0,0,0,1
"13722.58cfa82fe4b0c9d6adf6b912",31331,12,1,0,0,0,5,0,5,0,0,1,8617,0,1,9559,1,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b7c4",89687,146,2,0,0,0,91,0,37,1,180,9,16480,0,6,33264,2,0,0,4,0
"13722.58cfa82fe4b0c9d6adf6b5f4",157,22,0,0,0,0,4,0,10,0,0,0,24051,0,0,48,1,0,0,0,1
"13722.58cfa82ee4b0c9d6adf6ae62",7,10,0,0,0,0,7,0,3,0,0,0,2630,0,0,4,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ae74",1156,9,0,0,0,0,4,0,3,0,0,0,6585,0,0,457,0,0,0,0,0
