"","Chaetothyriales","Malasseziales","Pucciniales","Helotiales","Verrucariales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Dothideales","Ustilaginales","Xylariales","Eurotiales","Trichosporonales","Mucorales","Microascales","Saccharomycetales","Glomerellales","Georgefischeriales","Pleosporales","Entylomatales","Pezizales","Botryosphaeriales","Sordariales","Hypocreales","Tremellales","Polyporales","Gloeophyllales","Russulales","Agaricales","diversity"
"F0157",0,8317,0,0,0,0,0,0,0,0,0,0,0,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0159",0,0,0,0,0,0,0,0,0,0,17375,0,0,0,0,0,0,50335,0,0,27675,0,0,0,0,0,27770,0,0,0,0,4
"F0161",0,2939,0,0,0,0,0,0,0,0,0,0,0,2492,0,0,0,0,0,0,34165,0,0,0,0,0,0,0,0,0,0,3
"F0162",0,0,0,0,0,0,0,0,0,0,0,0,0,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5390,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0166",0,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10144,0,0,0,0,2
"F0167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805,0,0,8211,0,0,0,0,0,0,0,0,0,0,2
"F0168",0,0,0,0,0,0,0,0,0,0,0,0,0,1304,0,0,0,0,0,0,0,0,0,0,0,0,4978,0,0,0,0,2
"F0169",0,6312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0170",0,9625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29653,0,0,0,0,0,0,0,0,0,0,2
"F0177",0,14030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6270,0,0,0,0,0,0,0,0,68415,0,0,0,0,3
"F0178",0,60020,0,0,0,0,0,25410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28970,0,422140,0,0,0,0,4
"F0179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6755,0,0,0,0,0,16456,0,0,0,0,2
"F0182",0,0,0,0,0,0,0,0,0,0,0,7656,0,0,0,0,0,5286,0,0,0,0,0,0,0,0,0,4366,0,0,0,3
"F0183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16851,0,0,0,0,0,0,0,0,8445,0,0,0,0,2
"F0184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7263,0,0,0,0,1
"F0185",0,26775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7515,0,0,8315,0,0,0,0,0,9520,0,0,0,0,4
"F0186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12665,0,0,0,0,1
"F0316",10456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130815,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0320",0,3857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0321",0,7730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3620,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0323",0,9750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0324",0,16447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4535,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215304,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4542,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61105,0,0,0,0,0,0,0,0,0,0,1
"F0336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2747880,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65316,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2193190,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141130,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477125,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4340,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604335,0,0,22065,0,0,0,0,0,0,0,0,0,0,2
"F0351",0,10200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436385,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2408640,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32795,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0356",0,0,0,0,0,0,0,37010,0,0,0,0,0,0,0,0,0,2215410,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26545,0,399890,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29840,0,0,0,0,0,0,0,186395,0,0,0,0,66190,3
"F0360",0,14520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4198150,0,0,17860,0,0,0,0,14710,0,0,0,0,0,4
"F0368",0,35625,0,0,0,0,0,0,0,0,0,44245,0,0,0,0,0,226345,0,0,78505,0,0,0,0,0,0,0,0,0,0,4
"F0369",0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50753,0,0,0,0,0,0,0,2
"F0377",0,0,0,0,54135,0,0,0,0,0,0,0,0,0,0,0,0,233085,0,0,161030,0,0,0,0,0,0,0,0,0,0,3
"F0212",0,5348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0213",0,0,0,0,0,0,0,10244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9878,2
"F0215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13965,0,0,0,0,1
"F0216",0,3334,0,0,0,0,0,32869,0,0,0,0,0,2921,0,0,10447,12205,0,0,6789,5173,0,0,0,0,0,0,0,12757,0,8
"F0218",0,0,0,0,0,0,0,0,0,0,0,0,0,4003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0219",0,17705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0220",0,5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0221",0,4465,0,0,0,0,0,8750,0,0,80920,0,0,0,0,0,0,14875,0,10455,32015,0,0,0,0,0,0,0,0,0,0,6
"F0222",0,0,0,0,0,0,0,15232,0,0,0,0,0,5238,0,0,0,0,0,0,15809,0,0,0,0,0,0,0,0,0,0,3
"F0228",0,3198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0230",0,106115,0,0,0,0,0,180930,0,0,0,0,0,0,0,45050,0,0,0,11750,85240,0,0,0,0,0,39760,0,0,0,13605,7
"F0232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8137,0,0,0,0,0,6951,10516,0,0,0,0,3
"F0233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4602,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0235",0,4276,0,0,0,0,0,36833,0,0,0,0,0,0,0,0,0,7270,0,0,46801,0,0,0,0,0,18924,0,0,0,0,5
"F0236",0,30130,0,0,0,0,0,39260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0237",0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0238",0,11751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8487,0,0,0,0,0,0,0,0,0,0,4735,3
"F0240",0,4140,0,0,0,0,0,7444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0243",0,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31891,0,0,0,0,0,0,0,0,0,0,2
"F0248",0,24320,0,0,0,0,0,26744,0,0,0,0,0,5713,0,0,0,15526,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0249",0,13775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5766,0,0,0,0,0,0,0,0,0,2
"F0258",0,6709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342,0,0,0,0,0,10416,0,0,0,0,3
"F0259",0,11566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10470,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0264",0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16353,0,0,0,0,0,0,0,0,0,0,1
"F0269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8272,0,0,0,0,0,0,0,0,0,0,1
"F0273",0,0,0,0,0,0,0,0,0,0,0,0,0,2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43891,0,0,21103,0,0,0,0,0,0,0,0,0,7096,3
"F0489",0,21597,0,0,0,0,0,25929,0,0,0,0,0,12280,0,0,0,0,0,0,0,2632,0,0,0,0,0,0,0,0,14960,5
"F0494",0,39871,0,0,0,0,0,0,0,0,0,0,0,18417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0496",0,1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0497",0,18999,0,0,0,0,0,21206,0,0,0,0,0,114600,0,0,0,0,0,0,16310,0,0,0,0,0,0,0,0,0,0,4
"F0500",0,7127,0,0,0,0,0,1697,0,0,0,0,0,10548,0,0,0,6036,0,0,0,0,0,0,0,0,0,0,0,35335,0,5
"F0501",0,0,0,0,0,0,0,0,0,0,0,0,0,3511,0,0,0,11133,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0506",0,6562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21623,0,0,0,2
"F0507",0,22073,0,0,0,0,0,0,0,0,0,0,0,10487,0,0,0,0,0,0,0,0,0,0,0,18668,0,0,0,0,0,3
"F0510",0,0,0,0,0,0,0,0,0,0,0,0,0,1619860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20660,2
"F0513",0,0,0,0,0,0,0,0,0,0,0,0,0,6308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0478",0,10743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6126,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0514",0,50449,0,15115,0,0,0,2645,0,0,0,0,0,10475,0,0,0,2172,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"F0515",0,8074,0,0,0,0,0,24708,0,0,0,0,0,40665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0516",0,110030,0,0,0,0,0,0,0,0,0,0,0,16455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0517",0,181860,0,0,0,0,0,23710,0,0,0,0,0,41490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0522",0,32880,0,0,0,0,0,0,0,0,0,0,0,32500,0,0,0,907120,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0479",0,0,0,0,0,0,0,0,0,0,0,0,17143,2191,0,0,0,64640,0,0,0,0,0,0,0,0,43344,0,0,0,0,4
"F0525",0,38400,0,0,0,0,0,0,0,0,0,0,0,57005,0,0,0,5265,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24096,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0483",0,0,0,0,0,0,0,0,0,0,0,0,0,20531,36599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0580",0,8841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45148,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0581",0,0,0,0,0,0,0,197440,0,0,0,0,0,10170,0,0,0,8890,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0586",0,0,0,0,0,0,0,0,0,0,0,0,0,605580,0,0,0,0,0,0,49860,0,0,0,0,0,0,0,0,0,0,2
"F0826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224840,0,1
"F0827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76580,0,0,0,0,1
"F0829",0,0,0,0,0,0,0,0,0,0,0,229440,0,0,0,0,0,70240,0,0,0,0,0,0,0,0,23230,0,0,0,0,3
"F0830",0,22879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0832",0,0,0,0,0,0,0,0,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0833",0,0,0,0,0,0,0,10249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63460,0,0,0,1
"F0837",0,0,0,0,0,0,0,0,0,0,0,0,0,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0839",0,14667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0840",0,0,0,0,0,0,0,0,0,0,0,0,0,1447960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0841",0,10135,0,0,0,0,0,196040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0845",0,0,0,0,0,0,0,0,0,0,0,0,0,220470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364665,0,0,0,0,0,0,0,0,0,0,0,0,0,1
