"","Chaetothyriales","Malasseziales","Pucciniales","Helotiales","Verrucariales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Dothideales","Ustilaginales","Xylariales","Eurotiales","Trichosporonales","Mucorales","Microascales","Saccharomycetales","Glomerellales","Georgefischeriales","Pleosporales","Entylomatales","Pezizales","Botryosphaeriales","Sordariales","Hypocreales","Tremellales","Polyporales","Gloeophyllales","Russulales","Agaricales","diversity"
"F0436",0,246165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0438",0,206140,0,0,0,0,0,0,0,21160,0,18795,0,0,0,0,0,88360,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35921,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0441",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45584,0,0,0,0,0,0,0,31499,0,0,0,0,0,2
"F0443",0,112120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0446",0,14803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0449",0,8418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0454",0,44690,0,0,0,0,0,0,0,0,0,14530,83250,0,0,0,0,0,0,0,85070,0,0,0,0,0,0,0,0,0,0,4
"F0458",0,0,0,0,0,0,0,3959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0527",0,5368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8407,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0528",0,8377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0529",0,0,0,0,0,0,0,0,0,0,0,0,6680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0530",0,11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0531",0,15257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0532",3371,3948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19011,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0534",0,21558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0535",0,10623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0538",0,15261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19138,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0545",0,3303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0546",0,33475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22410,0,0,0,0,0,0,18765,0,0,0,3
"F0549",0,12064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0550",0,20650,0,0,0,0,0,29560,0,0,0,0,0,0,0,0,0,33535,0,0,74485,0,0,0,0,0,0,0,0,0,0,4
"F0552",0,8567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0554",0,13122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16250,0,0,0,2
"F0555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6321,0,0,0,0,0,0,0,1180,0,0,0,0,0,2
"F0557",0,6838,0,0,0,0,0,0,0,0,0,0,0,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0566",0,5328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5594,0,0,22461,0,0,0,0,0,0,0,0,0,0,3
"F0567",0,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0568",0,2312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0569",0,0,0,0,0,0,0,0,31708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0770",0,64815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10010,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0777",0,8626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0786",0,26890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0789",0,24346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0790",0,0,0,0,0,0,0,0,0,0,0,0,0,12050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0794",0,0,0,0,0,0,0,2651900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38300,0,0,0,0,0,0,0,0,0,0,1
"F0687",0,0,0,0,0,0,0,0,0,0,23903,0,0,0,0,0,0,48311,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82379,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2942680,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340735,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0699",0,125845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0703",0,0,0,0,0,0,0,0,0,0,0,0,0,30825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29039,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0708",0,0,0,0,0,0,0,38840,0,0,0,0,0,882820,0,0,0,981160,0,0,0,0,0,0,0,0,0,0,0,1175860,0,4
"F0711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17315,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0716",0,0,0,0,0,0,0,0,0,0,0,0,0,16780,0,0,0,26130,0,0,0,0,0,0,0,108190,0,0,0,76290,0,4
"F0721",0,20710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732040,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0726",0,0,0,0,0,0,0,0,0,0,0,0,0,26727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140744,0,0,0,0,0,0,0,0,0,0,1
"F0728",0,76530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579185,0,0,0,0,0,0,0,0,0,0,2
"F0729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41422,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88761,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25700,58493,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20223,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0736",0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22502,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70639,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0739",0,38890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91120,0,0,0,0,0,0,0,0,0,0,2
"F0740",0,12393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571020,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0748",0,47040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130612,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0755",0,33060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0760",0,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83122,0,1
"F0604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3706,0,1
"F0605",0,0,0,0,0,0,0,5815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7920,0,0,0,0,0,0,0,0,0,0,0,1
"F0608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8972,0,5711,0,2
"F0609",0,3488,0,0,0,0,0,0,0,0,79060,0,0,0,0,0,0,28816,0,0,44503,0,0,0,0,0,0,0,0,0,26722,5
"F0612",0,0,0,0,0,0,0,0,0,0,21591,0,0,13934,0,0,0,8227,0,0,0,0,0,0,0,16640,0,0,0,4731,17130,6
"F0613",0,0,0,0,0,0,0,0,0,0,0,4310,0,40443,0,0,0,0,0,0,18814,0,0,0,0,4763,0,0,0,0,0,4
"F0615",0,0,0,0,0,0,0,0,0,0,0,0,3283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0616",0,0,0,0,0,0,0,0,0,0,40615,0,0,0,0,0,56915,0,0,0,396420,0,0,0,0,0,0,33530,0,0,0,4
"F0621",0,0,0,0,0,0,0,11479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8564,0,0,0,0,0,2
"F0622",0,0,0,0,0,0,0,0,0,0,0,4601,0,0,0,0,0,0,0,0,12386,0,0,0,0,0,0,10005,0,0,0,3
"F0623",0,0,0,0,0,0,0,0,0,0,0,9311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0624",0,0,0,0,0,0,0,0,0,0,0,0,0,4991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0625",0,6463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
