"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa83ce4b0c9d6adf7317a",74,48,0,10
"13767.58cfa83ce4b0c9d6adf73013",110,17,0,10
"13767.58cfa830e4b0c9d6adf6c03a",402,1272,0,11
"13767.58cfa830e4b0c9d6adf6c314",12,2,0,2
"13767.58cfa830e4b0c9d6adf6bf92",358,82,0,3
"13767.58cfa831e4b0c9d6adf6ca4e",19,288,0,1
"13767.58cfa83ce4b0c9d6adf7317c",159,548,0,4
"13767.58cfa83ce4b0c9d6adf7317e",1844,845,0,16
"13767.58cfa832e4b0c9d6adf6d05a",149,94,0,2
"13767.58cfa83ce4b0c9d6adf73028",812,232,0,9
"13767.58cfa832e4b0c9d6adf6d08c",44,15,0,3
"13767.58cfa83ce4b0c9d6adf72de2",99,30,0,0
"13767.58cfa831e4b0c9d6adf6c9bc",92,46,0,4
"13767.58cfa831e4b0c9d6adf6c49e",1844,845,0,16
"13767.58cfa83ce4b0c9d6adf72d6e",1060,276,0,4
"13767.58cfa832e4b0c9d6adf6d44a",1282,589,0,58
"13767.58cfa83ce4b0c9d6adf7319c",760,573,0,10
"13767.58cfa832e4b0c9d6adf6d4d5",708,7473,0,43
"13767.58cfa83ce4b0c9d6adf72ffa",17,15,0,0
"13767.58cfa831e4b0c9d6adf6c4cc",804,237,0,9
"13767.58cfa831e4b0c9d6adf6c3e0",1380,376,0,76
"13767.58cfa83ce4b0c9d6adf72e44",90,86,0,8
"13767.58cfa830e4b0c9d6adf6bfac",1551,366,0,13
"13767.58cfa83ce4b0c9d6adf72e7a",2393,366,0,9
"13767.58cfa830e4b0c9d6adf6c152",2162,649,0,13
"13767.58cfa83ce4b0c9d6adf731c0",613,1316,0,17
"13767.58cfa831e4b0c9d6adf6c4d8",1147,896,0,14
"13767.58cfa83ce4b0c9d6adf72e1b",1380,376,0,76
"13767.58cfa832e4b0c9d6adf6d050",579,31,0,41
"13767.58cfa831e4b0c9d6adf6c58e",2539,153,0,9
"13767.58cfa831e4b0c9d6adf6ca34",1201,185,0,22
"13767.58cfa83ce4b0c9d6adf731ea",1551,366,0,13
"13767.58cfa832e4b0c9d6adf6d232",7,6,0,1
"13767.58cfa831e4b0c9d6adf6c380",700,95,0,3
"13767.58cfa83ce4b0c9d6adf72e5e",2539,153,0,9
"13767.58cfa831e4b0c9d6adf6c623",613,1316,0,17
"13767.58cfa83ce4b0c9d6adf72fab",1307,765,0,3
"13767.58cfa832e4b0c9d6adf6d4d1",289,51,0,1
"13767.58cfa83ce4b0c9d6adf72fed",174,14,0,13
"13767.58cfa832e4b0c9d6adf6d39c",1286,489,0,50
"13767.58cfa830e4b0c9d6adf6bf98",3837,864,0,51
"13767.58cfa832e4b0c9d6adf6d444",490,767,0,13
"13767.58cfa832e4b0c9d6adf6d2bc",311,26,0,7
"13767.58cfa832e4b0c9d6adf6d076",1307,765,0,3
"13767.58cfa831e4b0c9d6adf6c618",621,91,0,13
"13767.58cfa831e4b0c9d6adf6c732",284,376,0,17
"13767.58cfa830e4b0c9d6adf6c0c8",486,342,0,4
"13767.58cfa83ce4b0c9d6adf72fb0",1533,234,0,35
"13767.58cfa832e4b0c9d6adf6d3d4",18,211,0,3
"13767.58cfa83ce4b0c9d6adf731fe",311,26,0,7
"13767.58cfa83ce4b0c9d6adf730b6",62,29,0,4
"13767.58cfa83ce4b0c9d6adf73050",284,385,0,17
"13767.58cfa832e4b0c9d6adf6d24e",834,82,0,28
"13767.58cfa831e4b0c9d6adf6c4c2",1354,162,0,27
"13767.58cfa832e4b0c9d6adf6d3c0",100,46,0,1
"13767.58cfa831e4b0c9d6adf6c5c4",10,19,0,0
"13767.58cfa831e4b0c9d6adf6c382",176,110,0,5
"13767.58cfa830e4b0c9d6adf6c2b5",163,34,0,3
"13767.58cfa83ce4b0c9d6adf731ee",162,70,0,8
"13767.58cfa83ce4b0c9d6adf72d82",474,56,0,0
"13767.58cfa831e4b0c9d6adf6c370",303,148,0,12
"13767.58cfa83ce4b0c9d6adf72e70",554,68,0,11
"13767.58cfa83ce4b0c9d6adf72e18",799,525,0,29
"13767.58cfa83ce4b0c9d6adf72e84",187,79,0,4
"13767.58cfa83ce4b0c9d6adf72fa8",181,273,0,7
"13767.58cfa832e4b0c9d6adf6d398",779,260,0,27
"13767.58cfa83ce4b0c9d6adf7300c",136,34,0,0
"13767.58cfa831e4b0c9d6adf6c3b4",274,347,0,9
"13767.58cfa830e4b0c9d6adf6c2ed",139,26,0,0
"13767.58cfa83ce4b0c9d6adf73146",380,59,0,6
"13767.58cfa83ce4b0c9d6adf72fe2",535,661,0,3
"13767.58cfa83ce4b0c9d6adf73010",176,110,0,5
"13767.58cfa83ce4b0c9d6adf72e01",155,34,0,3
"13767.58cfa830e4b0c9d6adf6be1c",21,43,0,2
"13767.58cfa832e4b0c9d6adf6d2c6",21,22,0,2
"13767.58cfa831e4b0c9d6adf6c3c6",426,155,0,23
"13767.58cfa830e4b0c9d6adf6bf34",474,56,0,0
"13767.58cfa830e4b0c9d6adf6c316",186,18,0,3
"13767.58cfa831e4b0c9d6adf6c38e",196,72,0,3
"13767.58cfa831e4b0c9d6adf6c3bf",261,184,0,8
"13767.58cfa831e4b0c9d6adf6cd80",715,27,0,5
"13767.58cfa830e4b0c9d6adf6bfc5",21,17,0,1
"13767.58cfa832e4b0c9d6adf6d560",230,561,0,7
"13767.58cfa83ce4b0c9d6adf72e59",1050,261,0,4
"13767.58cfa830e4b0c9d6adf6c086",826,177,0,1
"13767.58cfa83ce4b0c9d6adf72e42",283,339,0,9
"13767.58cfa83ce4b0c9d6adf72dff",3803,832,9,12
"13767.58cfa832e4b0c9d6adf6d574",102,959,0,5
"13767.58cfa83ce4b0c9d6adf72df4",236,29,0,5
"13767.58cfa83ce4b0c9d6adf730a1",944,148,0,11
"13767.58cfa831e4b0c9d6adf6c3d0",233,117,0,1
"13767.58cfa832e4b0c9d6adf6d42f",20,16,0,3
"13767.58cfa83ce4b0c9d6adf72ff4",384,220,0,19
"13767.58cfa832e4b0c9d6adf6d2a2",535,661,0,3
"13767.58cfa832e4b0c9d6adf6d562",502,293,0,20
"13767.58cfa830e4b0c9d6adf6be11",25,14,0,2
"13767.58cfa83ce4b0c9d6adf73079",273,73,0,17
"13767.58cfa83ce4b0c9d6adf731b6",18,22,0,1
"13767.58cfa83ce4b0c9d6adf731f8",503,608,0,26
"13767.58cfa83ce4b0c9d6adf72fc5",489,194,0,22
"13767.58cfa830e4b0c9d6adf6bfa1",3778,820,8,13
"13767.58cfa830e4b0c9d6adf6bfc2",223,25,0,4
"13767.58cfa832e4b0c9d6adf6d0e4",6,6,0,0
"13767.58cfa831e4b0c9d6adf6c941",940,155,0,9
"13767.58cfa832e4b0c9d6adf6d27b",35,58,0,2
"13767.58cfa83ce4b0c9d6adf731de",234,126,0,1
"13767.58cfa83ce4b0c9d6adf7309e",31,7,0,4
"13767.58cfa83ce4b0c9d6adf73058",356,6,0,6
"13767.58cfa832e4b0c9d6adf6d40f",756,446,0,14
"13767.58cfa831e4b0c9d6adf6c364",1456,130,0,10
"13767.58cfa831e4b0c9d6adf6c4ff",145,52,0,6
"13767.58cfa831e4b0c9d6adf6c454",281,67,0,18
"13767.58cfa83ce4b0c9d6adf72e4d",465,84,0,1
"13767.58cfa831e4b0c9d6adf6c398",101,106,0,3
"13767.58cfa832e4b0c9d6adf6d5d5",364,160,0,5
"13767.58cfa832e4b0c9d6adf6cdfe",34,10,0,1
"13767.58cfa833e4b0c9d6adf6d8e5",19,3,0,0
"13767.58cfa831e4b0c9d6adf6c5d6",1171,432,0,9
"13767.58cfa83ce4b0c9d6adf731a4",1456,130,0,10
"13767.58cfa830e4b0c9d6adf6c0a8",344,4,0,3
"13767.58cfa832e4b0c9d6adf6d54c",3,2,0,0
"13767.58cfa831e4b0c9d6adf6c37c",230,347,0,24
"13767.58cfa832e4b0c9d6adf6d17f",1742,297,0,9
"13767.58cfa832e4b0c9d6adf6d0b1",23,10,0,1
"13767.58cfa83ce4b0c9d6adf72dfa",11,1,0,0
"13767.58cfa832e4b0c9d6adf6d21e",688,3698,0,67
"13767.58cfa832e4b0c9d6adf6d0eb",295,259,0,8
"13767.58cfa831e4b0c9d6adf6c578",525,50,0,4
"13767.58cfa832e4b0c9d6adf6d28d",177,159,0,0
"13767.58cfa832e4b0c9d6adf6ce4c",1165,100,0,35
