"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa83be4b0c9d6adf71f68",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e986",0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa836e4b0c9d6adf6faa2",2,85,0,0,0,0,20,0,37,0,0,0,0,0,2,0,0,0,0,4,0
"13767.58cfa838e4b0c9d6adf7061e",0,27,0,0,0,0,5,0,11,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa836e4b0c9d6adf6f9bd",0,33,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa839e4b0c9d6adf71072",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e95e",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa836e4b0c9d6adf6f982",2,106,0,0,0,0,25,0,45,0,0,0,0,0,1,0,0,0,0,6,0
"13767.58cfa838e4b0c9d6adf70a5b",0,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf703b4",1,18,0,0,0,0,5,0,5,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf704c3",1,20,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6ea32",0,14,0,0,0,0,3,0,7,0,0,0,2,0,0,0,0,0,0,1,0
"13767.58cfa837e4b0c9d6adf7033b",1,88,0,0,0,0,10,0,33,1,0,0,1,0,1,0,1,0,0,9,0
"13767.58cfa837e4b0c9d6adf6fcd6",2,75,0,0,0,0,17,0,33,1,0,0,1,0,1,0,0,0,0,4,0
"13767.58cfa838e4b0c9d6adf70429",0,46,0,0,0,0,15,0,17,0,0,0,2,0,1,0,0,0,0,2,0
"13767.58cfa834e4b0c9d6adf6e9d3",0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa835e4b0c9d6adf6ebbe",0,11,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,1,0
"13767.58cfa836e4b0c9d6adf6fa30",1,50,0,0,0,0,13,0,26,1,0,0,0,0,0,0,0,0,0,6,0
"13767.58cfa839e4b0c9d6adf713d6",0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa836e4b0c9d6adf6fa3b",3,104,0,0,0,0,19,0,37,1,0,0,1,0,1,0,0,0,0,7,1
"13767.58cfa837e4b0c9d6adf7022c",0,18,0,0,0,0,6,0,6,0,0,0,1,0,0,0,0,0,0,3,1
"13767.58cfa837e4b0c9d6adf703f8",0,21,0,0,0,0,3,0,10,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa835e4b0c9d6adf6f10d",0,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"13767.58cfa836e4b0c9d6adf6fc02",0,16,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa834e4b0c9d6adf6e968",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa835e4b0c9d6adf6eb1b",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e7f2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e77e",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e97d",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
