"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa83ae4b0c9d6adf71e4a",0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72587",0,22,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70d22",0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e76c",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72550",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa839e4b0c9d6adf715a3",0,7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83ae4b0c9d6adf71d64",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70565",1,19,2,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,3,0
"13767.58cfa83be4b0c9d6adf725f0",1,33,0,0,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa83be4b0c9d6adf724d6",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71d82",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71cce",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72856",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70b38",0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71a55",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e766",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70a4b",10,273,2,0,0,0,50,1,115,1,0,0,0,0,1,0,0,0,0,15,2
"13767.58cfa83ae4b0c9d6adf71da3",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf7251a",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e6a7",3,116,0,0,0,0,18,0,43,0,0,0,0,0,1,0,0,0,0,8,1
"13767.58cfa83be4b0c9d6adf72734",0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71b90",0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71d66",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf725b5",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70996",0,18,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa835e4b0c9d6adf6ec32",0,18,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf70fb2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72837",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa835e4b0c9d6adf6ec0e",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf7246c",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71d41",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e668",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf717ae",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72454",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf725e4",1,20,0,0,0,0,4,0,12,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa83ae4b0c9d6adf71d54",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf71f3c",0,4,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf71f42",0,5,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7051a",5,210,0,0,0,0,41,0,84,0,0,0,0,0,2,0,0,0,0,11,2
"13767.58cfa83ae4b0c9d6adf71d6b",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71d46",1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71675",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83be4b0c9d6adf72503",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70a7a",2,81,0,0,0,0,15,0,36,0,0,0,0,0,1,0,0,0,0,5,0
"13767.58cfa83ae4b0c9d6adf71ae6",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf709da",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71b86",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf709a4",1,11,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83ae4b0c9d6adf71df6",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf702b2",2,64,0,0,0,0,17,0,31,0,0,0,1,0,0,0,0,0,0,4,0
"13767.58cfa83be4b0c9d6adf725f8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa838e4b0c9d6adf70582",0,7,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83ae4b0c9d6adf71c7c",0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa837e4b0c9d6adf700d6",0,10,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83be4b0c9d6adf727d5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa83ae4b0c9d6adf71e2a",1,9,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa838e4b0c9d6adf7094c",0,16,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,3,0
