"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa834e4b0c9d6adf6e589",0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa833e4b0c9d6adf6d865",0,31,0,0,0,0,7,0,11,0,0,0,2,0,0,0,0,0,0,2,0
"13767.58cfa834e4b0c9d6adf6e7cd",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e48f",2,86,0,0,0,0,15,0,32,0,0,0,1,0,0,0,0,0,0,6,0
"13767.58cfa833e4b0c9d6adf6dc46",1,79,0,0,0,0,19,0,36,1,0,0,1,0,2,0,0,0,0,4,0
"13767.58cfa833e4b0c9d6adf6d954",1,31,0,0,0,0,9,0,13,0,0,0,1,0,0,0,0,0,0,2,0
"13767.58cfa833e4b0c9d6adf6db44",0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa833e4b0c9d6adf6d95d",1,14,0,0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e850",1,59,0,0,0,0,7,0,20,0,0,0,1,0,1,0,0,0,0,3,0
"13767.58cfa833e4b0c9d6adf6dba3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e47f",0,4,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa833e4b0c9d6adf6da0c",0,47,0,0,0,0,12,0,28,0,0,0,0,0,0,0,0,0,0,3,0
"13767.58cfa834e4b0c9d6adf6e558",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e483",0,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa833e4b0c9d6adf6dda0",3,143,0,0,0,0,26,0,66,1,0,0,1,0,2,0,0,0,0,11,0
"13767.58cfa838e4b0c9d6adf70ffa",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa833e4b0c9d6adf6dd28",0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e7b7",0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
