"","Dothideales","Eremomycetales","Mycosphaerellales","Fungi_Ascomycota_Dothideomycetes_other","Pleosporales","Venturiales","Chaetothyriales","Eurotiales","Onygenales","Helotiales","Orbiliales","Fungi_Ascomycota_other_other","Pneumocystidales","Saccharomycetales","Schizosaccharomycetales","Glomerellales","Hypocreales","Magnaporthales","Microascales","Ophiostomatales","Sordariales","Togniniales","Xylariales","Xylonales","Agaricales","Boletales","Corticiales","Gloeophyllales","Polyporales","Russulales","Entylomatales","Georgefischeriales","Microstromatales","Malasseziales","Sporidiobolales","Pucciniales","Tremellales","Trichosporonales","Ustilaginales","Wallemiales","Fungi_Microsporidia_other_other","Glomerales","Mucorales"
"13722.58cfa82ee4b0c9d6adf6ae5d",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513,0,0,2,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6adec",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1896,0,0,1,0,0,2,0,0,0
"13722.58cfa82ee4b0c9d6adf6af74",0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6239,0,0,0,0,0,0,0,1,0
"13722.58cfa82ee4b0c9d6adf6b070",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3575,0,0,1,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a726",0,0,0,0,4,0,0,3,0,1,0,0,0,50,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10237,0,1,4,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a73c",0,0,0,0,2,0,1,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13606,0,3,5,0,1,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a738",0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11660,0,1,1,0,0,0,0,0,1
"13722.58cfa82de4b0c9d6adf6a74c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,0,0,0,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2085,0,0,2,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a794",0,0,0,0,0,0,4,1,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11301,0,0,3,0,1,0,0,0,1
"13722.58cfa82ee4b0c9d6adf6ac75",0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6913,0,3,5,2,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ac8b",0,0,3,0,0,0,7,3,0,1,0,0,0,6,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15291,0,3,5,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ac73",0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13452,0,1,7,0,0,0,0,0,1
"13722.58cfa82ee4b0c9d6adf6acaa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3704,0,0,1,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad24",0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2720,0,0,2,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad2e",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513,0,0,0,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad33",0,0,0,0,0,0,2,2,1,1,0,0,0,3,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13264,0,2,6,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad41",0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751,0,0,1,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad47",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2680,0,0,2,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad43",0,0,0,0,0,0,2,1,3,0,0,0,0,4,0,1,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15473,0,2,10,0,0,0,0,0,1
"13722.58cfa82ee4b0c9d6adf6ad9a",47,0,2,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518,0,0,2,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6adda",0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3254,0,0,3,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ae46",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2368,0,0,2,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ae1a",0,0,0,0,3,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3057,0,0,0,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ae3b",0,0,0,0,1,0,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1883,0,0,2,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6af4a",0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4881,0,1,2,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6af4c",0,0,1,0,3,0,0,4,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18819,0,3,4,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6af68",0,0,0,0,0,0,2,1,2,3,0,0,0,6,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,15128,0,4,1,0,1,0,0,1,0
"13722.58cfa82ee4b0c9d6adf6b084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2974,0,0,3,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a718",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,0,0,0,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a72e",0,0,0,0,0,0,0,3,2423,0,0,0,0,682,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10810,0,1,7,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a74a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265,0,0,0,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,0,0,0,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a759",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916,0,0,0,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a75e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606,0,0,1,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a76a",0,0,0,0,0,0,0,16,51397,0,0,0,0,0,0,0,0,0,0,0,37,0,2,0,0,0,0,0,0,0,0,0,0,1297,0,0,1,0,0,0,0,1,0
"13722.58cfa82de4b0c9d6adf6a74e",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5382,0,1,1,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a774",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12106,0,0,6,0,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a77a",0,0,0,0,0,0,0,1,0,0,0,0,0,123,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10359,0,2,2,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6a820",2,0,0,0,1,0,4,2,0,0,0,0,0,50,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,8643,0,1,3,0,1,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ac95",0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7992,0,1,4,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ac88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475,0,0,0,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad36",0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,0,0,2,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6adc4",0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6160,0,0,4,0,0,0,0,0,0
