"","Mucoromycota","Basidiomycota","Ascomycota","diversity"
"F1441",0,23150,0,1
"F1262",0,0,266780,1
"F1442",0,0,6374,1
"F1443",0,0,551205,1
"F1479",0,0,10071,1
"F1483",0,0,20539,1
"F1494",0,0,5617,1
"F1495",0,0,3167,1
"F1527",0,26513,16974,2
"F1271",0,0,6049,1
"F1273",0,2260,0,1
"F1274",0,8004,6299,2
"F1275",0,0,2501,1
"F1276",0,3575,0,1
"F1277",0,0,6726,1
"F1279",0,162580,0,1
"F1280",0,2468,2865,2
"F1281",0,0,113920,1
"F1246",0,0,6249,1
"F1282",0,3572,0,1
"F1283",0,16219,10929,2
"F1285",0,3554,4102,2
"F1288",0,0,175060,1
"F1289",0,2990,0,1
"F1292",0,0,2858,1
"F1306",0,9607,66228,2
"F1312",0,67900,42315,2
"F1314",0,4314,7919,2
"F1316",0,0,3422,1
"F1319",0,0,2061,1
"F1321",0,3385,0,1
"F1327",0,9601,0,1
"F1251",0,21887,5535,2
"F1338",0,12791,0,1
"F1915",0,0,136303,1
"F1924",0,29951,22221,2
"F1925",0,21470,49106,2
"F1926",0,0,60210,1
"F1929",0,19930,49578,2
"F1930",0,10885,512555,2
"F1931",0,35407,76681,2
"F1933",0,30349,8183,2
"F1916",0,85618,30755,2
"F1935",0,2172560,28860,2
"F1936",0,0,8750,1
"F1917",0,18369,65268,2
"F1958",0,0,29159,1
"F1959",0,37039,33302,2
"F1960",0,44855,20155,2
"F1961",0,21387,4348,2
"F1962",0,37093,15497,2
"F1963",0,24393,56082,2
"F1964",0,0,20851,1
"F1965",0,0,415840,1
"F1967",0,35678,17215,2
"F1968",0,9079,74026,2
"F1969",0,0,26741,1
"F1970",0,6373,0,1
"F1971",0,216310,344380,2
"F1973",0,4303,10433,2
"F1920",0,44697,20112,2
"F1974",0,17353,12998,2
"F1975",0,55029,25232,2
"F1976",0,17099,0,1
"F1977",0,36711,15446,2
"F1979",0,0,11410,1
"F1981",0,7032,0,1
"F1982",0,0,16161,1
"F1921",0,15823,124909,2
"F1984",0,5111,0,1
"F1985",0,31774,0,1
"F1986",0,19753,0,1
"F1987",0,0,7540,1
"F1990",0,0,1053160,1
"F1991",0,24610,295750,2
"F1992",0,11583,40080,2
"F1994",0,0,12789,1
"F1995",0,0,14375,1
"F1996",0,58773,40957,2
"F1997",0,158780,1155680,2
"F1998",0,15075,0,1
"F1999",0,0,14684,1
"F2001",0,11593,44852,2
"F2002",0,0,110744,1
"F2003",0,41514,0,1
"F2004",0,51861,12569,2
