"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa82de4b0c9d6adf6a758",0,0,0,0,0,0,2,0,0,0,0,0,1826,0,0,1,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ac91",0,0,0,0,0,0,0,0,0,0,0,0,3589,0,0,2,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6acb4",1,3,0,0,0,0,1,0,1,0,0,0,8702,0,1,2,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad30",0,0,0,0,0,0,0,0,1,0,0,0,2398,0,1,3,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad57",2,1,0,0,0,0,0,0,1,0,0,0,3466,0,1,3,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad4a",0,2,0,0,0,0,0,0,1,0,0,0,2045,0,0,1,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad5d",0,4,0,0,0,0,0,0,1,0,0,0,4053,0,0,1,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad5b",0,0,1,0,0,0,0,0,0,0,0,0,6271,0,1,1,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ad61",2,0,0,0,0,0,0,0,1,0,0,0,6422,0,0,0,0,0,0,1,0
"13722.58cfa82ee4b0c9d6adf6ad87",2,2,0,0,0,2,0,0,1,0,0,0,5077,0,1,2,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6adb4",0,5,0,0,0,0,0,0,3,0,2,0,10546,0,2,1,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ae36",0,0,0,0,0,0,5,0,1,0,0,0,1174,0,0,0,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ae5d",0,0,0,0,0,0,6,0,1,0,0,0,2513,0,0,2,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6adec",0,1,0,0,0,0,0,0,0,0,0,0,1896,0,0,1,0,2,0,0,0
"13722.58cfa82ee4b0c9d6adf6af74",1,2,0,0,0,0,3,0,3,0,0,0,6239,0,0,0,0,0,0,1,0
"13722.58cfa82ee4b0c9d6adf6b070",1,2,0,0,0,0,0,0,0,0,0,0,3575,0,0,1,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a726",4,3,1,0,0,0,50,0,3,0,0,0,10237,0,1,4,0,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a73c",2,8,0,0,0,0,0,0,2,0,0,1,13606,0,3,5,1,0,0,0,0
"13722.58cfa82de4b0c9d6adf6a738",0,1,1,0,0,0,4,0,6,0,0,0,11660,0,1,1,0,0,0,0,1
"13722.58cfa82de4b0c9d6adf6a74c",0,0,0,0,0,0,0,0,0,0,0,0,1083,0,0,0,0,0,0,0,0
