"","Microbotryomycetes_ord_Incertae_sedis","Chaetothyriales","Tritirachiales","Cystobasidiales","other","Cystobasidiomycetes_ord_Incertae_sedis","Malasseziales","Pucciniales","Amylocorticiales","other","Helotiales","Verrucariales","Trichosphaeriales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Agaricomycetes_ord_Incertae_sedis","Dothideales","Tilletiales","Ustilaginales","Xylariales","Erythrobasidiales","Eurotiales","Trichosporonales","Mucorales","Filobasidiales","Myrmecridiales","Microascales","other","other","Diaporthales","Atheliales","Cystofilobasidiales","Teloschistales","Saccharomycetales","Glomerellales","Georgefischeriales","Robbauerales","Pleosporales","other","Coniochaetales","Trechisporales","Entylomatales","Pezizales","Lichenostigmatales","Botryosphaeriales","Sordariales","other","Hypocreales","Tremellales","Polyporales","Agaricostilbales","Caliciales","Gloeophyllales","Russulales","Agaricales","Capnodiales","diversity"
"F0045",0,0,0,0,0,0,13351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0046",0,0,0,0,0,0,18188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6712,2
"F0006",0,0,0,0,0,0,16280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0061",0,0,0,0,0,0,7197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11402,0,0,0,0,0,0,0,0,2
"F0071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17986,0,0,0,0,0,0,0,0,0,0,0,0,0,1602,0,0,0,0,0,0,0,24144,3
"F0076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0078",0,0,0,0,0,0,5742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19685,0,0,0,0,0,0,0,0,0,5960,0,0,0,0,0,0,0,0,2
"F0110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8455,2
"F0114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0118",0,0,0,0,0,0,9764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,0,0,0,0,0,0,0,0,0,12385,0,6138,0,0,0,10098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"F0123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9790,0,0,0,0,0,0,0,0,6902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0125",0,0,0,0,0,0,21123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2710,0,0,0,0,0,0,0,7586,4
"F0127",0,0,0,0,0,0,10685,0,0,0,0,0,0,0,0,8068,0,0,0,0,0,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,114712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0129",0,0,0,0,0,0,5097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0132",0,0,0,0,0,0,18693,0,0,0,0,0,0,0,0,6574,0,0,0,0,0,0,0,0,2882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0134",0,0,0,0,0,0,119250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9725,4
"F0136",0,0,0,0,0,0,29782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6166,0,0,0,0,0,0,0,0,0,0,0,9971,2477,0,0,24112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11386,6
"F0138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51672,0,0,0,0,0,0,0,0,0,0,0,11992,0,0,0,7609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0140",0,1105,0,0,0,0,4650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3426,0,0,0,0,0,0,0,0,0,0,0,18177,0,6303,0,0,0,0,0,0,0,0,3
"F0146",0,0,0,0,0,0,11906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4259,0,0,5156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
