"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0348",0,0,0,0,0,0,0,0,0,604335,0,0,0,0,88980,2
"F0351",10200,0,0,0,0,0,0,0,0,436385,0,0,0,0,0,2
"F0352",0,0,0,0,0,0,0,0,0,2408640,0,0,0,0,0,1
"F0353",0,0,0,0,0,0,0,0,0,32795,0,0,0,0,0,1
"F0356",0,0,0,37010,0,0,0,0,0,2215410,0,0,0,0,0,2
"F0357",0,0,0,0,0,0,0,26545,0,399890,0,0,0,0,97030,3
"F0359",0,0,0,0,0,0,0,0,0,29840,186395,0,0,66190,324870,4
"F0360",14520,0,0,0,0,0,0,0,0,4198150,14710,0,0,0,17860,4
"F0368",35625,0,0,0,0,44245,0,0,0,226345,0,0,0,0,123545,4
"F0369",1456,0,0,0,0,0,0,0,0,0,0,0,0,0,50753,2
"F0377",0,0,0,0,0,0,54135,0,0,233085,0,0,0,0,191070,3
"F0212",5348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0213",0,0,0,10244,0,0,0,0,0,0,0,0,0,9878,17487,3
"F0215",0,0,0,0,0,0,0,0,13965,0,0,0,0,0,0,1
"F0216",3334,0,0,32869,0,0,2921,0,0,12205,10447,0,5173,12757,6789,8
"F0218",0,0,0,0,0,0,4003,0,0,0,0,0,0,0,0,1
"F0219",17705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0220",5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0221",4465,0,0,8750,0,0,0,0,0,14875,0,0,10455,0,138950,5
"F0222",0,0,0,15232,0,0,5238,0,0,0,0,0,0,0,30837,3
"F0228",3198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0230",106115,0,0,180930,0,0,0,45050,39760,0,0,0,11750,24255,85240,7
"F0232",0,0,3391,0,0,0,0,0,10516,0,6951,0,8137,0,0,4
