"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0567",1444,0,0,0,0,0,0,0,0,0,0,0,0,0,8557,2
"F0568",2312,0,0,0,0,0,0,0,0,2566,0,0,0,0,0,2
"F0569",0,0,0,0,0,0,31708,0,0,0,0,0,0,0,0,1
"F0770",64815,0,0,0,0,0,0,0,0,10010,0,0,0,0,0,2
"F0777",8626,0,0,0,0,0,0,0,0,0,0,0,0,0,22919,2
"F0781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264,1
"F0786",26890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0789",24346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0790",0,0,44330,0,0,0,12050,0,1037300,0,0,0,0,0,0,3
"F0794",0,0,0,2651900,0,0,0,0,139040,0,0,0,0,0,902140,3
"F0795",0,0,0,0,0,0,0,0,0,0,0,0,37755,0,95640,2
"F0687",0,0,0,0,0,0,0,0,0,48311,0,0,0,0,76432,2
"F0688",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39472,1
"F0689",0,0,0,0,0,0,0,0,0,82379,0,0,0,0,0,1
"F0697",0,0,0,0,0,0,0,0,0,2942680,0,0,0,0,81040,2
"F0698",0,0,0,0,0,0,0,0,0,340735,0,0,0,0,0,1
"F0699",125845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0701",0,0,0,0,0,0,0,0,4096360,0,0,0,0,0,0,1
"F0703",0,0,0,0,0,0,30825,0,0,0,0,0,0,0,0,1
"F0705",0,0,0,0,0,0,0,0,0,29039,0,0,0,0,0,1
"F0708",0,0,0,38840,0,0,882820,0,0,981160,0,0,0,1175860,444340,5
"F0711",0,0,0,0,0,0,0,0,0,17315,0,0,0,0,0,1
"F0716",0,0,0,0,0,0,16780,0,0,26130,108190,0,0,76290,257040,5
"F0721",20710,0,0,0,0,0,0,0,0,732040,0,0,0,0,0,2
