"","Saccotheciaceae","Eremomycetaceae","Mycosphaerellaceae","Teratosphaeriaceae","Fungi_Ascomycota_Dothideomycetes_other_other","Didymellaceae","Leptosphaeriaceae","Phaeosphaeriaceae","Pleosporaceae","Sympoventuriaceae","Cyphellophoraceae","Herpotrichiellaceae","Aspergillaceae","Thermoascaceae","Trichocomaceae","Ajellomycetaceae","Arthrodermataceae","Onygenaceae","Fungi_Ascomycota_Eurotiomycetes_Onygenales_other","Helotiaceae","Fungi_Ascomycota_Leotiomycetes_Helotiales_other","Sclerotiniaceae","Orbiliaceae","Fungi_Ascomycota_other_other_other","Pneumocystidaceae","Ascoideaceae","Debaryomycetaceae","Dipodascaceae","Metschnikowiaceae","Fungi_Ascomycota_Saccharomycetes_Saccharomycetales_other","Phaffomycetaceae","Pichiaceae","Saccharomycetaceae","Trichomonascaceae","Schizosaccharomycetaceae","Glomerellaceae","Plectosphaerellaceae","Clavicipitaceae","Cordycipitaceae","Hypocreaceae","Nectriaceae","Ophiocordycipitaceae","Pyriculariaceae","Microascaceae","Ophiostomataceae","Chaetomiaceae","Sordariaceae","Togniniaceae","Sporocadaceae","Xylonaceae","Agaricaceae","Psathyrellaceae","Schizophyllaceae","Coniophoraceae","Serpulaceae","Punctulariaceae","Gloeophyllaceae","Polyporaceae","Bondarzewiaceae","Stereaceae","Fungi_Basidiomycota_Exobasidiomycetes_Entylomatales_other","Tilletiariaceae","Fungi_Basidiomycota_Exobasidiomycetes_Microstromatales_other","Malasseziaceae","Sporidiobolaceae","Pucciniaceae","Cryptococcaceae","Cuniculitremaceae","Tremellaceae","Trichosporonaceae","Ustilaginaceae","Wallemiaceae","Nosematidae","Fungi_Microsporidia_other_other_other","Unikaryonidae","Glomeraceae","Phycomycetaceae","Rhizopodaceae"
"13722.58cfa831e4b0c9d6adf6cde2",0,0,1,0,0,0,1,0,2,0,0,2,10,0,0,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6325,0,1,3,0,0,0,25,0,0,0,0,0,0,0
"13722.58cfa832e4b0c9d6adf6ce2e",0,0,0,0,0,0,1,0,1,0,0,1,11,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14871,0,2,4,0,0,0,20,0,0,0,0,0,0,0
"13722.58cfa832e4b0c9d6adf6ce73",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3016,0,0,5,0,0,0,16,0,0,0,0,0,0,0
"13722.58cfa832e4b0c9d6adf6cf77",0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9168,0,1,3,0,0,0,12,0,0,0,0,0,0,0
"13722.58cfa832e4b0c9d6adf6cfff",0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6491,0,2,0,0,0,0,15,0,0,0,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d052",0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7032,0,2,1,0,0,0,21,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c212",0,0,0,0,0,0,1,0,1,0,0,2,4,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,2,1,3,0,1,0,0,1,0,1,0,0,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7057,1,1,3,0,0,0,14,0,0,0,0,1,0,0
"13722.58cfa831e4b0c9d6adf6c964",0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5604,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c9ad",0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,6,0,2,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6663,0,2,3,0,0,0,20,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c992",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2577,0,0,0,0,0,0,5,0,0,0,0,0,0,0
