"","Wickerhamomyces_anomalus","Malassezia_sympodialis","Wallemia_ichthyophaga","Candida_tropicalis","Pyrenophora_tritici-repentis","Malassezia_restricta","Sporisorium_graminicola","Debaryomyces_hansenii","Stereum_hirsutum","Pneumocystis_jirovecii","Aureobasidium_pullulans","Cyphellophora_europaea","Candida_glabrata","Pseudozyma_hubeiensis","Hyphopichia_burtonii","Cyberlindnera_jadinii","Torulaspora_delbrueckii","Saccharomyces_cerevisiae","Trichosporon_asahii","Alternaria_alternata","Coniosporium_apollinis","Ramularia_collo-cygni","Aureobasidium_namibiae","Malassezia_globosa","Penicillium_expansum","Rhodotorula_graminis","Agaricus_bisporus","Schizophyllum_commune","Candida_orthopsilosis","Bipolaris_zeicola","Tilletiopsis_washingtonensis","Byssochlamys_spectabilis","Fusarium_oxysporum","Candida_albicans","diversity"
"F0179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0182",0,0,0,0,0,0,0,0,0,0,0,0,0,3734,0,0,0,5286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0183",0,0,0,0,0,0,0,8054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0185",0,0,0,0,0,6975,0,0,0,0,0,0,0,0,0,0,0,7515,0,8315,0,0,0,19800,0,0,0,0,0,0,0,0,0,0,4
"F0320",0,0,0,0,0,3857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0321",0,0,0,0,0,7730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9750,0,0,0,0,0,0,0,0,0,0,1
"F0348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0351",0,0,0,0,0,10200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0368",0,0,0,0,0,35625,44245,0,0,0,0,0,0,0,0,0,0,0,0,78505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0212",0,0,0,0,0,5348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0216",0,0,0,0,0,3334,0,5680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0219",0,0,0,0,0,7646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5376,0,0,0,0,0,0,0,0,0,0,1
"F0221",0,0,0,0,0,0,0,0,0,0,80920,0,0,0,0,0,0,14875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0228",0,0,0,0,0,3198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0230",0,0,0,0,0,16225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43515,0,0,0,0,0,0,0,0,0,0,2
"F0235",0,0,0,0,0,4276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30130,0,0,0,0,0,0,0,0,0,0,1
