"","Wickerhamomyces_anomalus","Malassezia_sympodialis","Wallemia_ichthyophaga","Candida_tropicalis","Pyrenophora_tritici-repentis","Malassezia_restricta","Sporisorium_graminicola","Debaryomyces_hansenii","Stereum_hirsutum","Pneumocystis_jirovecii","Aureobasidium_pullulans","Cyphellophora_europaea","Candida_glabrata","Pseudozyma_hubeiensis","Hyphopichia_burtonii","Cyberlindnera_jadinii","Torulaspora_delbrueckii","Saccharomyces_cerevisiae","Trichosporon_asahii","Alternaria_alternata","Coniosporium_apollinis","Ramularia_collo-cygni","Aureobasidium_namibiae","Malassezia_globosa","Penicillium_expansum","Rhodotorula_graminis","Agaricus_bisporus","Schizophyllum_commune","Candida_orthopsilosis","Bipolaris_zeicola","Tilletiopsis_washingtonensis","Byssochlamys_spectabilis","Fusarium_oxysporum","Candida_albicans","diversity"
"F0687",0,0,0,0,0,0,0,0,0,0,23903,0,0,0,0,48311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0699",0,0,0,0,0,125845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0708",0,0,0,0,0,0,0,29760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105480,0,0,0,0,0,0,0,0,0,2
"F0716",0,0,0,0,0,0,0,26130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0721",0,0,0,0,0,20710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0728",0,0,0,0,0,76530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0736",0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38890,0,0,0,0,0,0,0,0,0,0,1
"F0740",0,0,0,0,0,12393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33060,0,0,0,0,0,0,0,0,0,0,1
"F0760",0,0,0,0,0,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0609",0,0,0,0,0,0,0,0,0,0,79060,0,0,0,0,0,0,0,0,0,0,0,0,3488,0,0,0,26722,0,0,0,0,0,0,3
"F0612",0,0,0,0,0,0,0,0,0,0,21591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0613",0,0,0,0,0,0,0,0,0,0,0,0,0,4310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4763,0,2
"F0616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0619",0,0,14266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0621",0,0,5928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0622",0,0,0,0,0,0,0,0,0,0,0,0,0,4601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0623",0,0,0,0,0,0,0,0,0,0,0,0,0,9311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0625",0,0,0,0,0,6463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0894",0,0,0,0,0,2649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0895",0,0,0,0,0,3712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0902",0,0,0,0,0,7163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0903",0,0,0,0,0,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0907",0,0,0,0,0,4818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0911",0,0,0,0,0,11631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0919",0,0,0,0,0,16729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0922",0,0,0,0,0,31595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0923",0,0,0,0,0,11107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446,0,0,0,0,0,0,0,0,0,0,2
"F0928",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7683,0,0,0,2707,0,0,0,0,0,0,0,0,0,0,2
"F0931",0,0,0,0,0,0,0,0,0,0,8197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0936",0,0,0,0,0,5643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0938",0,0,0,0,0,8040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0939",0,0,0,0,0,15615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0940",0,0,0,0,0,3622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5268,0,0,0,0,0,0,0,0,0,0,1
"F0942",0,0,0,0,0,7073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0944",0,0,0,0,0,9290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0946",0,0,0,0,0,2556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0947",0,0,0,0,0,7273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4472,0,0,0,0,0,0,0,0,0,0,2
"F0948",0,0,0,0,0,0,0,0,0,0,6360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0951",0,0,0,0,0,3650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0952",0,0,0,0,0,19050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851,0,0,0,0,0,0,0,0,0,0,2
"F0953",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10543,0,0,0,0,0,0,0,0,0,0,0,1
"F1176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1183",0,0,0,0,0,42496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6242,0,2
"F1186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1199",0,0,0,0,0,0,0,0,0,9356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1201",0,0,0,0,0,0,0,1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1203",0,0,0,30221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1210",0,0,0,0,0,52196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1215",0,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1085",0,0,0,0,0,0,0,0,0,0,4231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1092",0,0,0,0,0,0,0,0,0,0,41036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21458,0,0,0,1
"F1129",0,0,0,0,0,12607,0,1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F1136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27244,0,0,0,0,0,0,0,0,0,0,1
"F1142",0,0,0,0,0,32562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1144",0,0,0,0,0,4398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1342",0,0,0,0,0,4982,0,0,0,0,0,0,0,11752,0,7110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F1442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1451",0,0,0,0,0,21710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1470",0,0,0,0,0,2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11027,0,0,0,0,0,0,0,0,0,0,1
"F1527",0,0,0,0,0,10593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16786,0,0,0,16669,0,0,0,0,0,0,0,0,0,0,2
"F1338",0,0,0,0,0,12791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15358,0,0,0,0,0,1
"F1642",0,0,0,0,0,0,0,0,0,0,17831,0,0,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F1644",0,0,0,0,0,0,0,0,0,0,0,0,0,2372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1819",0,0,0,0,0,10468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1822",0,0,0,0,0,44758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27420,0,0,0,0,0,0,0,0,0,0,2
"F1628",0,0,5840,0,0,0,0,0,0,0,0,0,0,17221,0,0,0,0,0,0,0,0,0,4823,0,0,0,0,0,0,0,0,0,0,3
"F1829",0,0,0,0,0,6177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1830",0,0,0,0,0,17163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30483,0,0,0,0,0,0,0,0,2
"F1654",0,0,0,0,0,6277,0,0,0,0,0,0,0,16894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F1630",0,0,0,0,0,0,0,0,0,0,0,0,0,1112,15439,0,0,0,0,0,0,0,0,5016,0,0,0,0,0,0,0,0,0,0,3
"F1631",0,0,0,0,0,7690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6801,0,0,0,0,0,0,0,0,0,0,2
"F1632",0,0,0,0,0,3947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
